case_study,scenario,value,reference,variable
ashkelon,baseline,2020,nawi,analysis_year
ashkelon,baseline,israel,nawi,location_basis
ashkelon,baseline,20,nawi,plant_life_yrs
ashkelon,baseline,0.0015,nawi,land_cost_percent
ashkelon,baseline,0.05,nawi,working_capital_percent
ashkelon,baseline,0.001,nawi,salaries_percent
ashkelon,baseline,0.9,nawi,employee_benefits_percent
ashkelon,baseline,0.008,nawi,maintenance_cost_percent
ashkelon,baseline,0.003,nawi,laboratory_fees_percent
ashkelon,baseline,0.002,nawi,insurance_and_taxes_percent
ashkelon,baseline,0.7,nawi,default_cap_scaling_exp
ashkelon,baseline,0.7,nawi,default_opex_scaling_exp
ashkelon,baseline,0,nawi,cap_by_equity
ashkelon,baseline,0.05,nawi,debt_interest_rate
ashkelon,baseline,0.1,nawi,exp_return_on_equity
ashkelon,baseline,3.4,nawi,default_tpec_multiplier
ashkelon,baseline,1.65,nawi,default_tic_multiplier
ashkelon,baseline,0.0005,nawi,base_salary_per_fci
ashkelon,baseline,1,nawi,plant_cap_utilization
beef,baseline,2020,nawi,analysis_year
beef,baseline,illinois,nawi,location_basis
beef,baseline,20,nawi,plant_life_yrs
beef,baseline,0.0015,nawi,land_cost_percent
beef,baseline,0.05,nawi,working_capital_percent
beef,baseline,0.001,nawi,salaries_percent
beef,baseline,0.9,nawi,employee_benefits_percent
beef,baseline,0.008,nawi,maintenance_cost_percent
beef,baseline,0.002667,nawi,laboratory_fees_percent
beef,baseline,0.001867,nawi,insurance_and_taxes_percent
beef,baseline,0.7,nawi,default_cap_scaling_exp
beef,baseline,0.7,nawi,default_opex_scaling_exp
beef,baseline,0.4,nawi,cap_by_equity
beef,baseline,0.08,nawi,debt_interest_rate
beef,baseline,0.1,nawi,exp_return_on_equity
beef,baseline,3.4,nawi,default_tpec_multiplier
beef,baseline,1.65,nawi,default_tic_multiplier
beef,baseline,0.0005,nawi,base_salary_per_fci
beef,baseline,1,nawi,plant_cap_utilization
big_spring,baseline,2020,nawi,analysis_year
big_spring,baseline,texas,nawi,location_basis
big_spring,baseline,30,nawi,plant_life_yrs
big_spring,baseline,0.0015,nawi,land_cost_percent
big_spring,baseline,0.05,nawi,working_capital_percent
big_spring,baseline,0.001,nawi,salaries_percent
big_spring,baseline,0.9,nawi,employee_benefits_percent
big_spring,baseline,0.008,nawi,maintenance_cost_percent
big_spring,baseline,0.003,nawi,laboratory_fees_percent
big_spring,baseline,0.002,nawi,insurance_and_taxes_percent
big_spring,baseline,0.7,nawi,default_cap_scaling_exp
big_spring,baseline,0.7,nawi,default_opex_scaling_exp
big_spring,baseline,0,nawi,cap_by_equity
big_spring,baseline,0.05,nawi,debt_interest_rate
big_spring,baseline,0.1,nawi,exp_return_on_equity
big_spring,baseline,3.4,nawi,default_tpec_multiplier
big_spring,baseline,1.65,nawi,default_tic_multiplier
big_spring,baseline,0.0005,nawi,base_salary_per_fci
big_spring,baseline,1,nawi,plant_cap_utilization
carlsbad,baseline,2020,nawi,analysis_year
carlsbad,baseline,california,nawi,location_basis
carlsbad,baseline,20,nawi,plant_life_yrs
carlsbad,baseline,0.0015,nawi,land_cost_percent
carlsbad,baseline,0.05,nawi,working_capital_percent
carlsbad,baseline,0.001,nawi,salaries_percent
carlsbad,baseline,0.9,nawi,employee_benefits_percent
carlsbad,baseline,0.008,nawi,maintenance_cost_percent
carlsbad,baseline,0.003,nawi,laboratory_fees_percent
