case_study,scenario,units,unit_process,value,constituent,calculation_type,reference,data_reference,constituent_longform
ashkelon,baseline,kg/m3,reverse_osmosis,0.992881,bicarbonate_alkalinity_as_caco3,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Bicarbonate Alkalinity as CaCO3
ashkelon,baseline,kg/m3,reverse_osmosis,0.992881,bromide,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Bromide
ashkelon,baseline,kg/m3,reverse_osmosis,0.992881,calcium,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,"Calcium, Dissolved"
ashkelon,baseline,kg/m3,reverse_osmosis,0.992881,chloride,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Chloride
ashkelon,baseline,kg/m3,reverse_osmosis,0.992881,fluoride,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Fluoride
ashkelon,baseline,kg/m3,reverse_osmosis,0.992881,magnesium,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,"Magnesium, Dissolved"
ashkelon,baseline,kg/m3,reverse_osmosis,0.992881,potassium,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Potassium
ashkelon,baseline,kg/m3,reverse_osmosis,0.992881,silicon,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Silicon
ashkelon,baseline,kg/m3,reverse_osmosis,0.992881,sodium,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,"Sodium, Dissolved"
ashkelon,baseline,kg/m3,reverse_osmosis,0.992881,strontium,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Strontium
ashkelon,baseline,kg/m3,reverse_osmosis,0.992881,sulfate,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,"Sulfate, Dissolved"
ashkelon,baseline,kg/m3,reverse_osmosis,0.992881,tds,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Total Dissolved Solids (TDS)
ashkelon,baseline,kg/m3,reverse_osmosis,0.992881,tss,fractional_constituent_removal,nawi,Calculated value for total TDS removal from DEEP 5.1 model from IAEA,Total Suspended Solids (TSS)
ashkelon,baseline,kg/m3,reverse_osmosis,0.9,toc,fractional_constituent_removal,nawi,"From: ""TOC removal in reclamation of municipal wastewater by RO"" (2005) https://doi.org/10.1016/j.seppur.2005.04.004 -KAS",Total Organic Carbon (TOC)
default,baseline,kg/m3,reverse_osmosis,0.98,arsenic,fractional_constituent_removal,nawi,doi:10.3390/polym11081252 ,Arsenic
default,baseline,kg/m3,reverse_osmosis,0.98,bicarbonate_alkalinity_as_caco3,fractional_constituent_removal,nawi,doi:10.3390/polym11081252 ,Bicarbonate Alkalinity as CaCO3
default,baseline,kg/m3,reverse_osmosis,0.9,boron,fractional_constituent_removal,nawi,https://doi.org/10.1016/j.seppur.2010.07.021,Boron
default,baseline,kg/m3,reverse_osmosis,0.98,bromide,fractional_constituent_removal,nawi,doi:10.3390/polym11081252 ,Bromide
default,baseline,kg/m3,reverse_osmosis,0.98,calcium,fractional_constituent_removal,nawi,doi:10.3390/polym11081253,"Calcium, Dissolved"
default,baseline,kg/m3,reverse_osmosis,0.98,chloride,fractional_constituent_removal,nawi,doi:10.3390/polym11081254,Chloride
default,baseline,kg/m3,reverse_osmosis,0.98,fluoride,fractional_constituent_removal,nawi,doi:10.3390/polym11081255,Fluoride
default,baseline,kg/m3,reverse_osmosis,0.98,magnesium,fractional_constituent_removal,nawi,doi:10.3390/polym11081256,"Magnesium, Dissolved"
default,baseline,kg/m3,reverse_osmosis,0.98,potassium,fractional_constituent_removal,nawi,doi:10.3390/polym11081257,Potassium
default,baseline,kg/m3,reverse_osmosis,0.98,silicon,fractional_constituent_removal,nawi,doi:10.3390/polym11081258,Silicon
default,baseline,kg/m3,reverse_osmosis,0.98,sodium,fractional_constituent_removal,nawi,doi:10.3390/polym11081259,"Sodium, Dissolved"
default,baseline,kg/m3,reverse_osmosis,0.98,strontium,fractional_constituent_removal,nawi,doi:10.3390/polym11081260,Strontium
default,baseline,kg/m3,reverse_osmosis,0.98,sulfate,fractional_constituent_removal,nawi,doi:10.3390/polym11081261,"Sulfate, Dissolved"
default,baseline,kg/m3,reverse_osmosis,0.98,electrical_conductivity,fractional_constituent_removal,nawi,doi:10.3390/polym11081262,Total Dissolved Solids (TDS)
default,baseline,kg/m3,reverse_osmosis,0.98,tds,fractional_constituent_removal,nawi,doi:10.3390/polym11081262,Total Dissolved Solids (TDS)
