bv,cb,species,resin,c0,c_norm,curve_id
433.9440694,0.038572806,PFOA,ect2_sorbix_lc4,15.8,0.002441317,1
15131.51332,0.044225717,PFOA,ect2_sorbix_lc4,15.8,0.002799096,1
31125.92691,0.050377415,PFOA,ect2_sorbix_lc4,15.8,0.003188444,1
39771.55588,0.053702657,PFOA,ect2_sorbix_lc4,15.8,0.003398902,1
46688.05906,0.05636285,PFOA,ect2_sorbix_lc4,15.8,0.003567269,1
56198.25092,0.060020616,PFOA,ect2_sorbix_lc4,15.8,0.003798773,1
69239.8497,2.603498154,PFOA,ect2_sorbix_lc4,15.8,0.164778364,1
77039.2046,3.241113291,PFOA,ect2_sorbix_lc4,15.8,0.205133753,1
85753.00103,5.609849367,PFOA,ect2_sorbix_lc4,15.8,0.355053757,1
93547.36807,6.074385662,PFOA,ect2_sorbix_lc4,15.8,0.384454789,1
102234.5626,7.520034583,PFOA,ect2_sorbix_lc4,15.8,0.475951556,1
110484.4877,8.7924384,PFOA,ect2_sorbix_lc4,15.8,0.556483443,1
118245.6024,8.103115752,PFOA,ect2_sorbix_lc4,15.8,0.512855427,1
126513.8164,10.01014199,PFOA,ect2_sorbix_lc4,15.8,0.63355329,1
136033.984,10.35995744,PFOA,ect2_sorbix_lc4,15.8,0.655693509,1
152512.2203,12.15475676,PFOA,ect2_sorbix_lc4,15.8,0.769288402,1
177195.491,13.66425032,PFOA,ect2_sorbix_lc4,15.8,0.86482597,1
200547.0023,13.96169321,PFOA,ect2_sorbix_lc4,15.8,0.883651469,1
208752.0367,13.67638746,PFOA,ect2_sorbix_lc4,15.8,0.865594143,1
229953.7791,14.37684967,PFOA,ect2_sorbix_lc4,15.8,0.909927194,1
254530.6421,12.19399461,PFOA,ect2_sorbix_lc4,15.8,0.771771811,1
0.831310478,0.00956007,PFOA,calgon_calres_2301,15.8,0.000605068,2
15131.51332,0.044225717,PFOA,calgon_calres_2301,15.8,0.002799096,2
31556.54574,-0.00714927,PFOA,calgon_calres_2301,15.8,-0.000452485,2
40203.83733,0.053868919,PFOA,calgon_calres_2301,15.8,0.003409425,2
47120.3405,0.056529112,PFOA,calgon_calres_2301,15.8,0.003577792,2
56630.53237,0.060186879,PFOA,calgon_calres_2301,15.8,0.003809296,2
69600.63845,0.122867689,PFOA,calgon_calres_2301,15.8,0.007776436,2
77867.18984,1.972200978,PFOA,calgon_calres_2301,15.8,0.124822847,2
86537.75812,2.840920427,PFOA,calgon_calres_2301,15.8,0.17980509,2
93928.10827,4.286070562,PFOA,calgon_calres_2301,15.8,0.271270289,2
101735.7763,5.212150434,PFOA,calgon_calres_2301,15.8,0.329882939,2
110429.6213,6.888571144,PFOA,calgon_calres_2301,15.8,0.435985515,2
119055.2988,6.19958102,PFOA,calgon_calres_2301,15.8,0.392378546,2
126916.1707,8.971835201,PFOA,calgon_calres_2301,15.8,0.567837671,2
135553.4865,8.686695707,PFOA,calgon_calres_2301,15.8,0.549790868,2
152922.8876,11.40491471,PFOA,calgon_calres_2301,15.8,0.721830045,2
177627.7724,13.66441659,PFOA,calgon_calres_2301,15.8,0.864836493,2
200960.9949,13.32723706,PFOA,calgon_calres_2301,15.8,0.843496016,2
209179.3303,13.50347488,PFOA,calgon_calres_2301,15.8,0.854650309,2
230834.9682,14.95411166,PFOA,calgon_calres_2301,15.8,0.946462763,2
255001.1638,13.52109866,PFOA,calgon_calres_2301,15.8,0.855765738,2
1.662620956,0.038406544,PFOA,a694e,15.8,0.002430794,3
15131.51332,0.044225717,PFOA,a694e,15.8,0.002799096,3
31556.54574,-0.00714927,PFOA,a694e,15.8,-0.000452485,3
40634.45616,-0.003657766,PFOA,a694e,15.8,-0.000231504,3
47550.95933,-0.000997573,PFOA,a694e,15.8,-6.31E-05,3
56630.53237,0.060186879,PFOA,a694e,15.8,0.003809296,3
69166.69438,0.065008479,PFOA,a694e,15.8,0.004114461,3
77002.62694,1.971868453,PFOA,a694e,15.8,0.124801801,3
85257.53999,3.417351112,PFOA,a694e,15.8,0.216288045,3
103017.657,4.693412696,PFOA,a694e,15.8,0.297051436,3
109548.4321,6.311309148,PFOA,a694e,15.8,0.399449946,3
135124.5303,8.801915339,PFOA,a694e,15.8,0.557083249,3
152490.6062,11.40474845,PFOA,a694e,15.8,0.721819522,3
178060.0539,13.66458285,PFOA,a694e,15.8,0.864847016,3
201431.5166,14.6543411,PFOA,a694e,15.8,0.927489943,3
210083.7961,14.88843813,PFOA,a694e,15.8,0.942306211,3
230410.9999,15.24241014,PFOA,a694e,15.8,0.964709502,3
254568.8824,13.5209324,PFOA,a694e,15.8,0.855755215,3
0,0,PFOA,evoqua_psr2+,15.8,0,4
15562.13215,0,PFOA,evoqua_psr2+,15.8,0,4
31988.82719,0,PFOA,evoqua_psr2+,15.8,0,4
39335.94919,0,PFOA,evoqua_psr2+,15.8,0,4
47117.01526,0,PFOA,evoqua_psr2+,15.8,0,4
55330.36278,0,PFOA,evoqua_psr2+,15.8,0,4
69165.03176,0.007315532,PFOA,evoqua_psr2+,15.8,0.000463008,4
84728.82652,0.070993915,PFOA,evoqua_psr2+,15.8,0.004493286,4
77376.71666,0.070993915,PFOA,evoqua_psr2+,15.8,0.004493286,4
94235.69315,0.070993915,PFOA,evoqua_psr2+,15.8,0.004493286,4
104179.8291,0.020782762,PFOA,evoqua_psr2+,15.8,0.001315365,4
114122.3024,0.02460679,PFOA,evoqua_psr2+,15.8,0.001557392,4
127145.6123,1.933461909,PFOA,evoqua_psr2+,15.8,0.122371007,4
134871.8119,0.032587371,PFOA,evoqua_psr2+,15.8,0.002062492,4
143148.339,2.228078343,PFOA,evoqua_psr2+,15.8,0.141017617,4
152246.2009,2.923885213,PFOA,evoqua_psr2+,15.8,0.185056026,4
160032.2548,3.099956772,PFOA,evoqua_psr2+,15.8,0.196199796,4
166962.059,3.564160543,PFOA,evoqua_psr2+,15.8,0.225579781,4
177360.0904,4.375852093,PFOA,evoqua_psr2+,15.8,0.276952664,4
184690.5862,3.74405613,PFOA,evoqua_psr2+,15.8,0.236965578,4
192042.6961,3.86226848,PFOA,evoqua_psr2+,15.8,0.244447372,4
200275.9951,4.557742826,PFOA,evoqua_psr2+,15.8,0.288464736,4
208931.5998,4.907225751,PFOA,evoqua_psr2+,15.8,0.310583908,4
229250.4905,4.972733016,PFOA,evoqua_psr2+,15.8,0.314729938,4
253885.5452,4.809131114,PFOA,evoqua_psr2+,15.8,0.304375387,4
0,0.027932961,PFBS,ect2_sorbix_lc4,14.8,0.001887362,5
31645.56962,0.03971902,PFBS,ect2_sorbix_lc4,14.8,0.002683718,5
69198.31224,0.03971902,PFBS,ect2_sorbix_lc4,14.8,0.002683718,5
143459.9156,0.081363097,PFBS,ect2_sorbix_lc4,14.8,0.005497507,5
151476.7932,0.084348899,PFBS,ect2_sorbix_lc4,14.8,0.00569925,5
176371.308,2.775184845,PFBS,ect2_sorbix_lc4,14.8,0.18751249,5
201265.8228,3.790043137,PFBS,ect2_sorbix_lc4,14.8,0.256083996,5
208860.7595,5.021922071,PFBS,ect2_sorbix_lc4,14.8,0.339319059,5
229957.8059,5.253243131,PFBS,ect2_sorbix_lc4,14.8,0.35494886,5
255274.2616,6.324124492,PFBS,ect2_sorbix_lc4,14.8,0.427305709,5
0,0.027932961,PFBS,calgon_calres_2301,14.8,0.001887362,6
31645.56962,0.027932961,PFBS,calgon_calres_2301,14.8,0.001887362,6
100000,0.065176909,PFBS,calgon_calres_2301,14.8,0.004403845,6
151476.7932,0.028482977,PFBS,calgon_calres_2301,14.8,0.001924525,6
176371.308,3.333844063,PFBS,calgon_calres_2301,14.8,0.225259734,6
208438.8186,5.301094532,PFBS,calgon_calres_2301,14.8,0.358182063,6
229113.9241,6.035051741,PFBS,calgon_calres_2301,14.8,0.407773766,6
254430.3797,7.608726398,PFBS,calgon_calres_2301,14.8,0.514103135,6
0,0.027932961,PFBS,a694e,14.8,0.001887362,7
52742.61603,0.047576393,PFBS,a694e,14.8,0.003214621,7
100000,0.065176909,PFBS,a694e,14.8,0.004403845,7
151476.7932,0.196080742,PFBS,a694e,14.8,0.013248699,7
177215.1899,2.272705844,PFBS,a694e,14.8,0.153561206,7
201265.8228,3.343115763,PFBS,a694e,14.8,0.2258862,7
209704.6414,4.24011346,PFBS,a694e,14.8,0.286494153,7
229957.8059,5.364974974,PFBS,a694e,14.8,0.362498309,7
254430.3797,6.547273884,PFBS,a694e,14.8,0.442383371,7
