AtomicNumber,Element,Symbol,AtomicMass,NumberOfNeutrons,NumberOfProtons,NumberOfElectrons,Period,Group,Phase,Radioactive,Natural,Metal,Nonmetal,Metalloid,Type,AtomicRadius,Electronegativity,ionizationEnergy,Density,MeltingPoint,BoilingPoint,stableIsotopes,Discoverer,Year,SpecificHeat,NumberOfShells,NumberOfValence
1,Hydrogen,H,1.008,0,1,1,1,1,Gas,,yes,,yes,,Non-Metal,120,2.20,13.5984,0.000090,13.81,20.28,2,Henry Cavendish,1766,14.304,1,1
2,Helium,He,4.003,2,2,2,1,18,Gas,,yes,,yes,,Noble Gas,140,,24.5874,0.000179,0.95,4.22,2,Pierre Janssen - Norman Lockyer and Edward Frankland,1868,5.193,1,2
3,Lithium,Li,7.000,4,3,3,2,1,Solid,,yes,yes,,,Alkali Metal,182,0.98,5.3917,0.534000,453.65,1615.00,2,Johan August Arfvedson - isolated Robert Bunsen and Augustus Mathhiesen,1817,3.582,2,1
4,Beryllium,Be,9.012,5,4,4,2,2,Solid,,yes,yes,,,Alkaline Earth Metal,153,1.57,9.3227,1.850000,1560.00,2744.00,1,Nicholas Louis Vauquelin - isolated Friedrich Wöhler and Antoine A. Bussy [independently],1797,1.825,2,2
5,Boron,B,10.810,6,5,5,2,13,Solid,,yes,,,yes,Metalloid,192,2.04,8.2980,2.370000,2348.00,4273.00,2,Joseph Louis Gay-Lussac with Louis Jacques Thénard and Sir Humphrey Davy [independently],1808,1.026,2,3
6,Carbon,C,12.011,6,6,6,2,14,Solid,,yes,,yes,,Non-Metal,170,2.55,11.2603,2.267000,3823.00,4098.00,2,Prehistoric,,0.709,2,4
7,Nitrogen,N,14.007,7,7,7,2,15,Gas,,yes,,yes,,Non-Metal,155,3.04,14.5341,0.001251,63.15,77.36,2,Daniel Rutherford,1772,1.040,2,5
8,Oxygen,O,15.999,8,8,8,2,16,Gas,,yes,,yes,,Non-Metal,152,3.44,13.6181,0.001429,54.36,90.20,3,Joseph Priestly and  Carl Wilhelm Scheele [independently],1774,0.918,2,6
9,Fluorine,F,18.998,10,9,9,2,17,Gas,,yes,,yes,,Halogen,135,3.98,17.4228,0.001696,53.53,85.03,1,Henri Moissan,1886,0.824,2,7
10,Neon,Ne,20.180,10,10,10,2,18,Gas,,yes,,yes,,Noble Gas,154,,21.5645,0.000900,24.56,27.07,3,Sir William Ramsay and Morris Travers,1898,1.030,2,8
