Material,Price_Units,Price,Price_Year,Purity
Aluminum_Al2_SO4_3,$ / kg,0.69,2020,17.00%
Ammonia,$ / kg,0.79,2020,100.00%
Anionic_Polymer,$ / kg,0.79,2017,100.00%
Antifoam_Emulsion,$ / kg,0.53,2020,100.00%
Antifoam_Powder,$ / kg,0.53,2020,100.00%
Benzalkonium_Chloride,$ / kg,0.1,2020,100.00%
Calcium_Carbonate_(CaCO3),$ / kg,0.42,2020,100.00%
Carbohydrazine,$ / kg,0.1,2020,100.00%
Cathodic_Inhibitor,$ / kg,0.1,2020,100.00%
Cationic_Polymer,$ / kg,0.79,2017,100.00%
Chlorine,$ / kg,0.34,2020,100.00%
Chlorine2,$ / kg,0.34,2020,100.00%
Chlorine_dioxide,$ / kg,2.72,2020,100.00%
Chlorine_dioxide2,$ / kg,2.72,2020,100.00%
Chlorine_Dioxide3,$ / kg,2.72,2020,100.00%
Chloroisocyanurates,$ / kg,0.1,2020,100.00%
Citric_Acid,$ / kg,1.92,2020,100.00%
Copper_Sulphate,$ / kg,2.25,2020,100.00%
Diethylhydroxyethanol,$ / kg,0.51,2020,100.00%
Glycerin (C3H8O3),$ / kg,0.75,2020,100.00%
Hydrazine_(N2H4),$ / kg,3.49,2020,85.00%
Hydrochloric_Acid_(HCl),$ / kg,0.17,2020,100.00%
Hydrogen_Peroxide,$ / kg,1.53,2020,100.00%
Hydroquinone,$ / kg,4.18,2020,100.00%
Hypochlorite,$ / kg,1.13,2020,100.00%
Hypochlorite2,$ / kg,0.41,2020,100.00%
Iron_Fe2(SO4)3-,$ / kg,0.49,2020,100.00%
Iron_FeCl3,$ / kg,0.88,2020,100.00%
Iron_Salts,$ / kg,0.77,2020,100.00%
Lime_Suspension_CaOH_2,$ / kg,0.15,2020,100.00%
Methylethylketoxime,$ / kg,0.52,2020,100.00%
Molasses,$ / kg,0.06,2020,100.00%
Organic_Inhibitor,$ / kg,0.36,2020,100.00%
Oxygen,$ / kg,0.11,2020,100.00%
Ozone,$ / kg,0.3,2020,100.00%
Ion_Exchange_Resin,$ / kg,7.072,2019,100.00%
Soda Ash (NaCO3),$ / kg,0.19,2020,100.00%
Passivator,$ / kg,0.34,2020,100.00%
Phosphate_Esters,$ / kg,0.63,2020,100.00%
Phosphoric_Acid,$ / kg,0.97,2020,100.00%
Potassium_Chloride,$ / kg,1.36,2020,100.00%
Precipitation_Inhibitor,$ / kg,0.37,2020,100.00%
Rosin_Amine_Salts,$ / kg,0.5,2020,100.00%
Sodium_Chloride,$ / kg,0.08,2020,100.00%
Sodium_Hydroxide_(NaOH),$ / kg,0.11,2020,100.00%
Sodium Hypochlorite (NaOCl) (15%),$ / kg,0.23,2020,15.00%
Sodium_Bisullfite_NaHSO3,$ / kg,0.36,2020,100.00%
Sulphuric_Acid_H2SO4,$ / kg,0.12,2020,100.00%
Volatile_Corrosion_Inhibitor,$ / kg,0.38,2020,100.00%
Sediment_Filter_Bags,$ / kg,1,2020,100.00%
Sediment_Filter_Cartridges,$ / kg,1,2020,100.00%
Oxidation_Media,$ / kg,1,2020,100.00%
Activated_Carbon,$ / kg,3.63759,2020,100.00%
Sand,$ / kg,0.510219804,2020,100.00%
Gravel,$ / kg,1,2020,100.00%
Anthracite,$ / kg,1.124346,2020,100.00%
Filmtec,$ / kg,100,2020,100.00%
GE_Elements,$ / kg,1,2020,100.00%
GE_Osmonics_membranes,$ / kg,1,2020,100.00%
SUEZ_membranes,$ / kg,1,2020,100.00%
Toray_Membranes,$ / kg,1,2020,100.00%
UV_Bulbs,$ / kg,1,2020,100.00%
Sodium_Hexametaphosphate,$ / kg,7.2,2020,100.00%
Acetic_Acid,$ / kg,1,2020,100.00%
