case_study,scenario,water_type,variable,value,unit,reference,source_or_use
test,baseline,test_water,flow,0.5,m3/s,nawi,source
test,baseline,test_water,tds,0.5,kg/m3,nawi,source
test,baseline,test_water,toc,0.0078,kg/m3,nawi,source
test_x,baseline,test_water,oil_and_grease,0.005,kg/m3,nawi,source
test_x,baseline,test_water,aluminum,0.00005,kg/m3,nawi,source
test_x,baseline,test_water,arsenic,0.0007,kg/m3,nawi,source
test_x,baseline,test_water,barium,0.005,kg/m3,nawi,source
test_x,baseline,test_water,beta_particles_and_photon_emitters,50,pCi/L,nawi,source
test_x,baseline,test_water,boron,0.0005,kg/m3,nawi,source
test_x,baseline,test_water,bromate,0.004,kg/m3,nawi,source
test_x,baseline,test_water,bromide,0.005,kg/m3,nawi,source
test_x,baseline,test_water,calcium,0.06,kg/m3,nawi,source
test_x,baseline,test_water,chloride,0.0003,kg/m3,nawi,source
test_x,baseline,test_water,chromium,0.000006,kg/m3,nawi,source
test_x,baseline,test_water,cyanide_as_free,0.005,kg/m3,nawi,source
test_x,baseline,test_water,electrical_conductivity,0.17,S/m,nawi,source
test_x,baseline,test_water,fluoride,0.000009,kg/m3,nawi,source
test_x,baseline,test_water,hardness,0.06,kg/m3,nawi,source
test_x,baseline,test_water,iron,0.0043,kg/m3,nawi,source
test_x,baseline,test_water,lead,0.076,kg/m3,nawi,source
test_x,baseline,test_water,magnesium,0.000088,kg/m3,nawi,source
test_x,baseline,test_water,manganese,0.0054,kg/m3,nawi,source
test_x,baseline,test_water,mercury,4.00E-11,kg/m3,nawi,source
test_x,baseline,test_water,nickel,0.0000736,kg/m3,nawi,source
test_x,baseline,test_water,nitrate,0.02,kg/m3,nawi,source
test_x,baseline,test_water,nitrate_as_nitrogen,0.01,kg/m3,nawi,source
test_x,baseline,test_water,nitrite_as_nitrogen,0.004,kg/m3,nawi,source
test_x,baseline,test_water,nitrogen,0.00045,kg/m3,nawi,source
test_x,baseline,test_water,ph_max,7.28,pH,nawi,source
test_x,baseline,test_water,ph_min,7.28,pH,nawi,source
test_x,baseline,test_water,phosphates,0.0006,kg/m3,nawi,source
test_x,baseline,test_water,potassium,0.0006,kg/m3,nawi,source
test_x,baseline,test_water,radium_226,3.4,pCi/L,nawi,source
test_x,baseline,test_water,radium_226_and_radium_228_combined,5,pCi/L,nawi,source
test_x,baseline,test_water,radium_228,1.6,pCi/L,nawi,source
test_x,baseline,test_water,selenium,0.0006,kg/m3,nawi,source
test_x,baseline,test_water,silicon,0.013,kg/m3,nawi,source
test_x,baseline,test_water,silver,0.00006,kg/m3,nawi,source
test_x,baseline,test_water,sodium,0.103,kg/m3,nawi,source
test_x,baseline,test_water,sulfate,0.00084,kg/m3,nawi,source
test_x,baseline,test_water,total_coliforms_fecal_ecoli,200,kg/m3,nawi,source
test_x,baseline,test_water,tss,0.006525,kg/m3,nawi,source
test_x,baseline,test_water,turbidity,0.0016,kg/m3,nawi,source
test_x,baseline,test_water,zinc,0.001,kg/m3,nawi,source
ashkelon,baseline,seawater,boron,0.00502857,kg/m3,nawi,source
ashkelon,baseline,seawater,bromide,0.07577143,kg/m3,nawi,source
ashkelon,baseline,seawater,calcium,0.46811429,kg/m3,nawi,source
ashkelon,baseline,seawater,chloride,21.8994286,kg/m3,nawi,source
ashkelon,baseline,seawater,flow,7.7819,m3/s,nawi,source
ashkelon,baseline,seawater,magnesium,1.46057143,kg/m3,nawi,source
ashkelon,baseline,seawater,ph_max,7,pH,nawi,source
ashkelon,baseline,seawater,ph_min,7,pH,nawi,source
ashkelon,baseline,seawater,potassium,0.45177143,kg/m3,nawi,source
ashkelon,baseline,seawater,sodium,12.2045714,kg/m3,nawi,source
ashkelon,baseline,seawater,strontium,0.00148571,kg/m3,nawi,source
ashkelon,baseline,seawater,sulfate,3.06285714,kg/m3,nawi,source
ashkelon,baseline,seawater,tds,40.7,kg/m3,nawi,source
ashkelon,baseline,seawater,tss,0.03428571,kg/m3,nawi,source
beef,baseline,beef_processing,bod30,1.288,kg/m3,nawi,source
beef,baseline,beef_processing,flow,0.253071,m3/s,nawi,source
beef,baseline,beef_processing,hardness,0.25,kg/m3,nawi,source
beef,baseline,beef_processing,nitrate,0.1345,kg/m3,nawi,source
beef,baseline,beef_processing,oil_and_grease,0.1875,kg/m3,nawi,source
beef,baseline,beef_processing,ph_max,7,pH,nawi,source
beef,baseline,beef_processing,ph_min,7,pH,nawi,source
beef,baseline,beef_processing,phosphates,0.097,kg/m3,nawi,source
beef,baseline,beef_processing,tds,1.5697,kg/m3,nawi,source
beef,baseline,beef_processing,tss,3.87,kg/m3,nawi,source
big_spring,baseline,big_spring_feed,calcium,0.08,kg/m3,nawi,source
big_spring,baseline,big_spring_feed,chloride,0.29792,kg/m3,nawi,source
big_spring,baseline,big_spring_feed,flow,0.075,m3/s,nawi,source
big_spring,baseline,big_spring_feed,hardness,0.31,kg/m3,nawi,source
big_spring,baseline,big_spring_feed,sodium,0.23158,kg/m3,nawi,source
big_spring,baseline,big_spring_feed,sulfate,0.19,kg/m3,nawi,source
big_spring,baseline,big_spring_feed,tds,2.257,kg/m3,nawi,source
