,Feed_S_IP,S_A,S_F,S_I,S_N2,S_NH4,S_NO3,S_O2,S_PO4,X_AUT,X_H,X_I,X_PAO,X_PHA,X_PP,X_S,c_cost,o_cost,lcow,e_cost
0,3.519996857839138,2.1847023244573695e-09,3.838973001122488e-07,5.239012372343932e-10,1.969235965963418e-14,0.0009627532032859107,1.969235965963418e-14,1.969235965963418e-14,0.06249000863419251,1.969235965963418e-14,1.969235965963418e-14,2.573694858978231e-07,1.969235965963418e-14,1.4334645912514387e-07,2.2508847316561506e-09,2.7528784496201653e-09,2185688.28070068,125903.66864704422,6.164145727335332,0.044
1,3.4890184033748883,2.182862031720939e-09,3.8357392268685645e-07,5.234599269328954e-10,1.9675771721753996e-14,0.0009627529118046026,1.9675771721753996e-14,1.9675771721753996e-14,0.06243028225741145,1.9675771721753996e-14,1.9675771721753996e-14,2.5715268968253365e-07,1.9675771721753996e-14,1.4322571066226734e-07,2.24898868990445e-09,2.7505595514534e-09,2185688.2807169165,125846.11229191805,6.16311578806905,0.044
2,3.453217956978275,2.182611215452757e-09,3.835298490906042e-07,5.233997800873741e-10,1.9673510926721993e-14,0.0009626890963299021,1.9673510926721993e-14,1.9673510926721993e-14,0.062361262437503916,1.9673510926721993e-14,1.9673510926721993e-14,2.5712314219989753e-07,1.9673510926721993e-14,1.4320925367243745e-07,2.2487302755190286e-09,2.7502435053304276e-09,2185688.2807065495,125779.60016969527,6.16192559023232,0.044
3,3.5009165991614135,2.183204877995432e-09,3.8363416785511473e-07,5.235421429791628e-10,1.967886205221673e-14,0.000962865656992176,1.967886205221673e-14,1.967886205221673e-14,0.06245319598351368,1.967886205221673e-14,1.967886205221673e-14,2.571930787865412e-07,1.967886205221673e-14,1.4324820608369047e-07,2.2493419222125413e-09,2.7509915618513466e-09,2185688.280703895,125868.19353345004,6.163510919709207,0.044
4,3.421643403531209,2.181683744208286e-09,3.833668732459327e-07,5.231773683990456e-10,1.9665150933181625e-14,0.0009622726328819103,1.9665150933181625e-14,1.9665150933181625e-14,0.0623004663691261,1.9665150933181625e-14,1.9665150933181625e-14,2.57013881183098e-07,1.9665150933181625e-14,1.431483988285775e-07,2.2477747078703566e-09,2.7490748263882376e-09,2185688.2811935088,125721.01298115125,6.160877205611738,0.044
5,3.4414167502042647,2.1828746832646e-09,3.835761458242602e-07,5.234629608287734e-10,1.9675885759600354e-14,0.0009627649847334705,1.9675885759600354e-14,1.9675885759600354e-14,0.062338473007779976,1.9675885759600354e-14,1.9675885759600354e-14,2.571541801012746e-07,1.9675885759600354e-14,1.432265407771832e-07,2.249001724708386e-09,2.7505754932874467e-09,2185688.2805848964,125757.63872130518,6.161532601983507,0.044
6,3.4861299704038777,2.1828622316059044e-09,3.8357395781077125e-07,5.234599748661902e-10,1.9675773523467014e-14,0.000962753416772868,1.9675773523467014e-14,1.9675773523467014e-14,0.06242470574611842,1.9675773523467014e-14,1.9675773523467014e-14,2.571527132300395e-07,1.9675773523467014e-14,1.432257237774646e-07,2.248988895844642e-09,2.750559803322502e-09,2185688.2807006794,125840.73838991657,6.1630196250215326,0.044
7,3.4461723634287056,2.1824211713412345e-09,3.8349645441687734e-07,5.233542066726159e-10,1.967179791669157e-14,0.0009626006860429226,1.967179791669157e-14,1.967179791669157e-14,0.0623477015160552,1.967179791669157e-14,1.967179791669157e-14,2.571007539986617e-07,1.967179791669157e-14,1.4319678417022688e-07,2.248534474295138e-09,2.750004036395356e-09,2185688.280921869,125766.53196359,6.161691742262251,0.044
8,3.5271653701239827,2.184043226464773e-09,3.837814829883164e-07,5.237431826335836e-10,1.9686418715380197e-14,0.0009632381141764331,1.9686418715380197e-14,1.9686418715380197e-14,0.06250372979224915,1.9686418715380197e-14,1.9686418715380197e-14,2.5729184066917493e-07,1.9686418715380197e-14,1.433032132502265e-07,2.250205667240101e-09,2.7520479398341434e-09,2185688.2802069336,125916.89126352005,6.164382337895764,0.044
9,3.3940053878690124,2.1828618229271005e-09,3.8357388599746854e-07,5.234598768632135e-10,1.9675769839738618e-14,0.0009627534554324637,1.9675769839738618e-14,1.9675769839738618e-14,0.062247067575299346,1.9675769839738618e-14,1.9675769839738618e-14,2.5715266508551536e-07,1.9675769839738618e-14,1.4322569696252565e-07,2.2489884747855026e-09,2.750559288358491e-09,2185688.2807008056,125669.55430071498,6.159956379967085,0.044
