CaseStudy,Reference,Scenario,fci_class,tci_class,fixed_op_class,total_op_class,annual_op_class,elect_intens_class,catchem_class,other_class,wr_const_class,Unit,Type,UnitName,ToUnitName,FromPort,Parameter
,,,,,,,,,,,,,,,,,
SEAWATER ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ashkelon,nawi,baseline,,,,,,,5,,,sw_onshore_intake,intake,sw_onshore_intake,sulfuric_acid_addition,outlet,{'water_type': ['seawater']}
ashkelon,nawi,baseline,,,,,,,5,,,sulfuric_acid_addition,treatment,sulfuric_acid_addition,ferric_chloride_addition,outlet,{'dose': 10}
ashkelon,nawi,baseline,,,,,,,5,,,ferric_chloride_addition,treatment,ferric_chloride_addition,chlorination,outlet,{'dose': 20}
ashkelon,nawi,baseline,4,4,,,,,5,,,chlorination,treatment,chlorination,static_mixer,outlet,{'chemical_name': 'Chlorine'}
ashkelon,nawi,baseline,,,,,,,5,,,static_mixer,treatment,static_mixer,tri_media_filtration,outlet,
ashkelon,nawi,baseline,,,,,,,5,,,tri_media_filtration,treatment,tri_media_filtration,"cartridge_filtration,backwash_solids_handling","outlet,waste",
ashkelon,nawi,baseline,,,,,,,5,,,cartridge_filtration,treatment,cartridge_filtration,ro_first_pass,outlet,
ashkelon,nawi,baseline,3.5,3.5,,,,3.5,5,,,reverse_osmosis,treatment,ro_first_pass,"lime_softening,ro_first_stage","outlet,waste",{'erd': 'no'}
ashkelon,nawi,baseline,3.5,3.5,,,,3.5,5,,,reverse_osmosis,treatment,ro_first_stage,lime_softening,outlet,{'erd': 'yes'}
ashkelon,nawi,baseline,,,,,,,5,,,lime_softening,treatment,lime_softening,chlorination_b,outlet,{'lime': 2.3}
ashkelon,nawi,baseline,4,4,,,,,5,,,chlorination,treatment,chlorination_b,caustic_soda_addition,outlet,{'chemical_name': 'Chlorine'}
ashkelon,nawi,baseline,,,,,,,5,,,caustic_soda_addition,treatment,caustic_soda_addition,treated_storage,outlet,{'dose': 30}
ashkelon,nawi,baseline,,,,,,,5,,,treated_storage,treatment,treated_storage,municipal_drinking,outlet,{'hours': 1}
ashkelon,nawi,baseline,,,,,,,5,,,backwash_solids_handling,treatment,backwash_solids_handling,landfill,waste,{'recovery': 0.95}
ashkelon,nawi,baseline,,,,,,,5,,,municipal_drinking,use,municipal_drinking,,,
ashkelon,nawi,baseline,,,,,,,5,,,surface_discharge,waste,surface_discharge,,,{'pump': 'no'}
ashkelon,nawi,baseline,,,,,,,5,,,landfill,waste,landfill,,,
,,,,,,,,,,,,,,,,,
ashkelon,nawi,one_ro,,,,,,,5,,,sw_onshore_intake,intake,sw_onshore_intake,sulfuric_acid_addition,outlet,{'water_type': ['seawater']}
ashkelon,nawi,one_ro,,,,,,,5,,,sulfuric_acid_addition,treatment,sulfuric_acid_addition,ferric_chloride_addition,outlet,{'dose': 10}
ashkelon,nawi,one_ro,,,,,,,5,,,ferric_chloride_addition,treatment,ferric_chloride_addition,chlorination,outlet,{'dose': 20}
ashkelon,nawi,one_ro,4,4,,,,,5,,,chlorination,treatment,chlorination,static_mixer,outlet,{'chemical_name': 'Chlorine'}
ashkelon,nawi,one_ro,,,,,,,5,,,static_mixer,treatment,static_mixer,tri_media_filtration,outlet,
ashkelon,nawi,one_ro,,,,,,,5,,,tri_media_filtration,treatment,tri_media_filtration,"cartridge_filtration,backwash_solids_handling","outlet,waste",
ashkelon,nawi,one_ro,,,,,,,5,,,cartridge_filtration,treatment,cartridge_filtration,ro_first_pass,outlet,
ashkelon,nawi,one_ro,3.5,3.5,,,,3.5,5,,,reverse_osmosis,treatment,ro_first_pass,lime_softening,outlet,{'erd': 'yes'}
ashkelon,nawi,one_ro,,,,,,,5,,,lime_softening,treatment,lime_softening,chlorination_b,outlet,{'lime': 2.3}
ashkelon,nawi,one_ro,4,4,,,,,5,,,chlorination,treatment,chlorination_b,caustic_soda_addition,outlet,{'chemical_name': 'Chlorine'}
ashkelon,nawi,one_ro,,,,,,,5,,,caustic_soda_addition,treatment,caustic_soda_addition,treated_storage,outlet,{'dose': 30}
ashkelon,nawi,one_ro,,,,,,,5,,,treated_storage,treatment,treated_storage,municipal_drinking,outlet,{'hours': 1}
ashkelon,nawi,one_ro,,,,,,,5,,,backwash_solids_handling,treatment,backwash_solids_handling,landfill,waste,{'recovery': 0.95}
ashkelon,nawi,one_ro,,,,,,,5,,,municipal_drinking,use,municipal_drinking,,,
