,c0_mass,WR,Volt,c_prod_mass,Sol_Cond
0,1,0.5,2,0.8947995318825088,optimal
1,1,0.5,4,0.7940335454022941,optimal
2,1,0.5,6,0.6995910323711628,optimal
3,1,0.5,8,0.6128403176893104,optimal
4,1,0.5,10,0.5345706271037282,optimal
5,1,0.5,12,0.4650576274609336,optimal
6,1,0.5,14,,other
7,1,0.5,16,0.3514163967062123,optimal
8,1,0.5,18,0.30617921803980797,optimal
9,1,0.5,20,0.2676813747367357,optimal
10,1,0.5,22,0.2351224847556371,optimal
11,1,0.5,24,0.2077185752043783,optimal
12,1,0.5,26,0.1847359304798563,optimal
13,1,0.5,28,0.16551008594763936,optimal
14,1,0.5,30,0.1494538511266662,optimal
15,1,0.7,2,,infeasible
16,1,0.7,4,0.8617986041698821,optimal
17,1,0.7,6,0.7906060118688063,optimal
18,1,0.7,8,0.7204420903427924,optimal
19,1,0.7,10,0.6528550561401312,optimal
20,1,0.7,12,0.5890468405798073,optimal
21,1,0.7,14,,other
22,1,0.7,16,0.47572879089848524,optimal
23,1,0.7,18,0.4268774332917176,optimal
24,1,0.7,20,0.3832404571743808,optimal
25,1,0.7,22,0.3446000247834511,optimal
26,1,0.7,24,0.31062886542008006,optimal
27,1,0.7,26,0.2809371536402638,optimal
28,1,0.7,28,0.25510836666415077,optimal
29,1,0.7,30,0.23272506378825647,optimal
30,1,0.9,2,0.9699347225027628,optimal
31,1,0.9,4,0.934559238713187,optimal
32,1,0.9,6,0.8944601345517316,optimal
33,1,0.9,8,0.8506287616569171,optimal
34,1,0.9,10,0.8042984637021147,optimal
35,1,0.9,12,0.7567635792400006,optimal
36,1,0.9,14,0.7092312292612092,optimal
37,1,0.9,16,0.6627277917059281,optimal
38,1,0.9,18,0.6180578081933874,optimal
39,1,0.9,20,0.5758016148579543,optimal
40,1,0.9,22,0.5363363996994776,optimal
41,1,0.9,24,0.4998684219412084,optimal
42,1,0.9,26,0.4664682049987515,optimal
43,1,0.9,28,0.4361039172922441,optimal
