,c0_mass,WR,Volt,c_prod_mass,Sol_Cond
0,1,0.5,2,0.8947995318825088,optimal
1,1,0.5,4,0.7940335454022941,optimal
2,1,0.5,6,0.6995910323711628,optimal
3,1,0.5,8,0.6128403176893104,optimal
4,1,0.5,10,0.5345706271037282,optimal
5,1,0.5,12,0.4650576274609336,optimal
6,1,0.5,14,,other
7,1,0.5,16,0.3514163967062123,optimal
8,1,0.5,18,0.3061792180398079,optimal
9,1,0.5,20,0.2676813747367357,optimal
10,1,0.5,22,0.2351224847556371,optimal
11,1,0.5,24,0.2077185752043783,optimal
12,1,0.5,26,0.1847359304798563,optimal
13,1,0.5,28,0.1655100859476393,optimal
14,1,0.5,30,0.1494538511266662,optimal
15,1,0.5,32,0.1360578504504838,optimal
16,1,0.5,34,0.1248863923222907,optimal
17,1,0.5,36,0.1155707566556329,optimal
18,1,0.5,38,0.1078013532228421,optimal
19,1,0.5,40,0.1013196955193678,optimal
20,1,0.5,42,0.0959107604307218,optimal
21,1,0.5,44,0.0913960434975696,optimal
22,1,0.5,46,0.0876274473633442,optimal
23,1,0.5,48,0.0844820322580467,optimal
24,1,0.5,50,0.0818575919292874,optimal
25,1,0.5,52,0.079668981461203,optimal
26,1,0.5,54,0.0778451049687888,optimal
27,1,0.5,56,0.0763264649515926,optimal
28,1,0.5,58,0.0750631772339384,optimal
29,1,0.5,60,0.0740133632455189,optimal
30,1,0.5,62,,other
31,1,0.5,64,,error
32,1,0.5,66,,error
33,1,0.5,68,,other
34,1,0.5,70,,error
35,1,0.5,72,,error
36,1,0.5,74,,error
37,1,0.5,76,,error
38,1,0.5,78,,maxIterations
39,1,0.5,80,,error
40,1,0.5,82,,error
41,1,0.5,84,,infeasible
42,1,0.5,86,,other
43,1,0.5,88,,error
44,1,0.5,90,,other
45,1,0.5,92,,maxIterations
46,1,0.5,94,,error
47,1,0.5,96,,infeasible
48,1,0.5,98,,maxIterations
49,1,0.5,100,,other
50,1,0.7,2,,infeasible
