,c0_mass,WR,Volt,c_prod_mass,Sol_Cond,
0,1,0.5,2,0.894799532,optimal,
1,1,0.5,4,0.794033545,optimal,
2,1,0.5,6,0.699591032,optimal,
3,1,0.5,8,0.612840318,optimal,
4,1,0.5,10,0.534570627,optimal,
5,1,0.5,12,0.465057627,optimal,
6,1,0.5,14,0.404157,other,
7,1,0.5,16,0.351416397,optimal,
8,1,0.5,18,0.306179218,optimal,
9,1,0.5,20,0.267681375,optimal,
10,1,0.5,22,0.235122485,optimal,
11,1,0.5,24,0.207718575,optimal,
12,1,0.5,26,0.18473593,optimal,
13,1,0.5,28,0.165510086,optimal,
14,1,0.5,30,0.149453851,optimal,
15,1,0.5,32,0.13605785,optimal,
16,1,0.5,34,0.124886392,optimal,
17,1,0.5,36,0.115570757,optimal,
18,1,0.5,38,0.107801353,optimal,
19,1,0.5,40,0.101319696,optimal,
20,1,0.5,42,0.09591076,optimal,
21,1,0.5,44,0.091396043,optimal,
22,1,0.5,46,0.087627447,optimal,
23,1,0.5,48,0.084482032,optimal,
24,1,0.5,50,0.081857592,optimal,
25,1,0.5,52,0.079668981,optimal,
26,1,0.5,54,0.077845105,optimal,
27,1,0.5,56,0.076326465,optimal,
28,1,0.5,58,0.075063177,optimal,
29,1,0.5,60,0.074013363,optimal,
30,1,0.5,62,,other,
31,1,0.5,64,,error,
32,1,0.5,66,,error,
33,1,0.5,68,,other,
34,1,0.5,70,,error,
35,1,0.5,72,,error,
36,1,0.5,74,,error,
37,1,0.5,76,,error,
38,1,0.5,78,,maxIterations,
39,1,0.5,80,,error,
40,1,0.5,82,,error,
41,1,0.5,84,,infeasible,
42,1,0.5,86,,other,
43,1,0.5,88,,error,
44,1,0.5,90,,other,
45,1,0.5,92,,maxIterations,
46,1,0.5,94,,error,
47,1,0.5,96,,infeasible,
48,1,0.5,98,,maxIterations,
49,1,0.5,100,,other,
50,1,0.7,2,0.932221,infeasible,
51,1,0.7,4,0.861798604,optimal,
52,1,0.7,6,0.790606012,optimal,
53,1,0.7,8,0.72044209,optimal,
54,1,0.7,10,0.652855056,optimal,
55,1,0.7,12,0.589046841,optimal,
56,1,0.7,14,0.529845,other,
57,1,0.7,16,0.475728791,optimal,
58,1,0.7,18,0.426877433,optimal,
59,1,0.7,20,0.383240457,optimal,
60,1,0.7,22,0.344600025,optimal,
61,1,0.7,24,0.310628865,optimal,
62,1,0.7,26,0.280937154,optimal,
63,1,0.7,28,0.255108367,optimal,
64,1,0.7,30,0.232725064,optimal,
65,1,0.7,32,0.213386233,optimal,
66,1,0.7,34,0.196717991,optimal,
67,1,0.7,36,0.182379313,optimal,
68,1,0.7,38,0.170064213,optimal,
69,1,0.7,40,0.159501531,optimal,
70,1,0.7,42,0.150453188,optimal,
71,1,0.7,44,0.14271156,optimal,
72,1,0.7,46,,other,
73,1,0.7,48,0.130451783,optimal,
74,1,0.7,50,0.12564279,optimal,
75,1,0.7,52,0.121552917,optimal,
76,1,0.7,54,0.118081369,optimal,
77,1,0.7,56,0.115140871,optimal,
78,1,0.7,58,0.112655761,optimal,
79,1,0.7,60,0.110560389,optimal,
80,1,0.7,62,,other,
81,1,0.7,64,,error,
82,1,0.7,66,,maxIterations,
83,1,0.7,68,,infeasible,
84,1,0.7,70,,other,
85,1,0.7,72,,error,
86,1,0.7,74,,maxIterations,
87,1,0.7,76,,other,
88,1,0.7,78,,error,
89,1,0.7,80,,error,
90,1,0.7,82,,maxIterations,
91,1,0.7,84,,infeasible,
92,1,0.7,86,,other,
93,1,0.7,88,,error,
94,1,0.7,90,,error,
95,1,0.7,92,,other,
96,1,0.7,94,,other,
97,1,0.7,96,,error,
98,1,0.7,98,,error,
99,1,0.7,100,,other,
100,1,0.9,2,0.969934723,optimal,
101,1,0.9,4,0.934559239,optimal,
102,1,0.9,6,0.894460135,optimal,
103,1,0.9,8,0.850628762,optimal,
104,1,0.9,10,0.804298464,optimal,
