# Max Pressure for Recycle Pump,LCOW,LCOW wrt Feed Flow,SEC,SEC wrt Feed,Number of Stages,Final Brine Concentration,Final Permeate Concentration (ppm),Annual Feed Flow,Annual Water Production,Pump Work In (kW),Pump Work Recovered (kW),Net Pump Work In (kW),Energy Recovery (%),Mass Water Recovery Rate (%),System Salt Rejection (%),Total Membrane Area,Total Capex LCOW,Total Opex LCOW,Primary Pump Capex LCOW,Recycle Pump Capex LCOW,ERD Capex LCOW,Membrane Capex LCOW,Indirect Capex LCOW,Electricity LCOW,Membrane Replacement LCOW,Chem-labor-maintenance LCOW,Pumping Energy Agg LCOW,Membrane Agg LCOW,Feed Pressure (bar)-Stage 1,Feed Pressure (bar)-Stage 2,Membrane Area-Stage 1,Observed Rejection (%)-Stage 1,Observed Salt Passage (%)-Stage 1,Mass Salt Passage (%)-Stage 1,Volumetric Module Recovery Rate (%)-Stage 1,Mass Water Module Recovery Rate (%)-Stage 1,A-Value (LMH/bar)-Stage 1,B-Value (LMH)-Stage 1,Average Water Flux (LMH)-Stage 1,Average NaCl Flux (GMH)-Stage 1,Inlet Reynolds Number-Stage 1,Outlet Reynolds Number-Stage 1,Inlet Crossflow Velocity-Stage 1,Outlet Crossflow Velocity-Stage 1,Primary Pump SEC-Stage 1,Primary Pump SEC-Stage 2,Recycle Pump SEC-Stage 1,Recycle Pump SEC-Stage 2,ERD SEC-Stage 1,ERD SEC-Stage 2,Net SEC-Stage 1,Net SEC-Stage 2
3.000000e+05,2.107221e+00,8.504807e-01,8.509952e+00,3.434642e+00,2.000000e+00,1.300609e+02,5.000000e+02,1.538433e+05,6.209161e+04,8.885902e+01,-2.188350e+01,6.697552e+01,2.462721e+01,4.126361e+01,9.936194e+01,2.535390e+03,9.487091e-01,1.158512e+00,2.717875e-01,2.225885e-03,1.487279e-02,1.854684e-01,4.743546e-01,5.956966e-01,2.782026e-01,2.846127e-01,1.346801e+00,7.604204e-01,6.500000e+01,8.489410e+01,1.954932e+03,1.125107e+01,8.874893e+01,6.187242e+01,4.101494e+01,4.208472e+01,3.600000e-01,2.880000e-01,4.084938e+00,1.574294e+01,1.556420e+02,8.732056e+01,1.124924e-01,6.633782e-02,5.871809e+00,5.366347e+00,0.000000e+00,5.232713e-02,-2.210781e+00,-5.697508e-01,3.661029e+00,4.848923e+00
9.062500e+05,1.829449e+00,9.526150e-01,7.394046e+00,3.850164e+00,2.000000e+00,1.612767e+02,5.000000e+02,1.538433e+05,8.010797e+04,8.931570e+01,-1.423750e+01,7.507821e+01,1.594064e+01,5.323656e+01,9.936194e+01,3.212099e+03,8.008397e-01,1.028609e+00,2.103420e-01,1.037093e-03,8.524621e-03,1.805161e-01,4.004198e-01,5.175832e-01,2.707742e-01,2.402519e-01,1.089333e+00,7.401161e-01,6.500000e+01,8.500000e+01,2.412241e+03,9.337264e+00,9.066274e+01,6.292600e+01,5.215390e+01,5.366475e+01,3.600000e-01,2.880000e-01,4.221444e+00,1.244182e+01,2.798747e+02,1.238735e+02,2.022834e-01,9.657144e-02,4.551234e+00,4.146209e+00,0.000000e+00,9.877656e-02,-1.119621e+00,-2.825528e-01,3.431613e+00,3.962433e+00
1.512500e+06,1.780232e+00,1.020693e+00,7.231265e+00,4.146036e+00,2.000000e+00,1.807451e+02,5.000000e+02,1.538433e+05,8.820584e+04,9.133972e+01,-1.049202e+01,8.084770e+01,1.148681e+01,5.861808e+01,9.936194e+01,3.585931e+03,7.692622e-01,1.010970e+00,1.943277e-01,8.051121e-04,6.829939e-03,1.826683e-01,3.846311e-01,5.061886e-01,2.740025e-01,2.307787e-01,1.031292e+00,7.489402e-01,6.500000e+01,8.500000e+01,2.677311e+03,8.447263e+00,9.155274e+01,6.584388e+01,5.717153e+01,5.891150e+01,3.600000e-01,2.880000e-01,4.175359e+00,1.019092e+01,3.390718e+02,1.321126e+02,2.450689e-01,1.045713e-01,4.133401e+00,3.901866e+00,0.000000e+00,1.344368e-01,-7.150937e-01,-2.233450e-01,3.418307e+00,3.812958e+00
2.118750e+06,1.766475e+00,1.065161e+00,7.103793e+00,4.283491e+00,2.000000e+00,1.939087e+02,5.000000e+02,1.538433e+05,9.276544e+04,9.277746e+01,-9.249371e+00,8.352809e+01,9.969416e+00,6.164821e+01,9.936194e+01,3.832083e+03,7.608778e-01,1.005597e+00,1.869561e-01,7.149467e-04,6.055501e-03,1.867123e-01,3.804389e-01,4.972655e-01,2.800685e-01,2.282633e-01,1.000955e+00,7.655205e-01,6.500000e+01,8.482867e+01,2.912101e+03,1.047389e+01,8.952611e+01,6.608552e+01,6.004412e+01,6.189390e+01,3.600000e-01,2.880000e-01,4.033054e+00,8.828960e+00,3.678179e+02,1.323369e+02,2.658455e-01,1.057883e-01,3.930236e+00,3.800223e+00,0.000000e+00,1.599621e-01,-5.090966e-01,-2.775324e-01,3.421140e+00,3.682653e+00
2.725000e+06,1.766475e+00,1.065161e+00,7.103793e+00,4.283491e+00,2.000000e+00,1.939087e+02,5.000000e+02,1.538433e+05,9.276544e+04,9.277746e+01,-9.249371e+00,8.352809e+01,9.969416e+00,6.164821e+01,9.936194e+01,3.832083e+03,7.608778e-01,1.005597e+00,1.869561e-01,7.149467e-04,6.055500e-03,1.867123e-01,3.804389e-01,4.972655e-01,2.800685e-01,2.282633e-01,1.000955e+00,7.655205e-01,6.500000e+01,8.482866e+01,2.912101e+03,1.047389e+01,8.952611e+01,6.608552e+01,6.004412e+01,6.189390e+01,3.600000e-01,2.880000e-01,4.033054e+00,8.828960e+00,3.678179e+02,1.323369e+02,2.658455e-01,1.057883e-01,3.930236e+00,3.800223e+00,0.000000e+00,1.599621e-01,-5.090966e-01,-2.775324e-01,3.421140e+00,3.682653e+00
3.331250e+06,1.766475e+00,1.065161e+00,7.103793e+00,4.283491e+00,2.000000e+00,1.939087e+02,5.000000e+02,1.538433e+05,9.276544e+04,9.277746e+01,-9.249371e+00,8.352809e+01,9.969416e+00,6.164821e+01,9.936194e+01,3.832083e+03,7.608778e-01,1.005597e+00,1.869561e-01,7.149467e-04,6.055500e-03,1.867123e-01,3.804389e-01,4.972655e-01,2.800685e-01,2.282633e-01,1.000955e+00,7.655205e-01,6.500000e+01,8.482866e+01,2.912101e+03,1.047389e+01,8.952611e+01,6.608552e+01,6.004412e+01,6.189390e+01,3.600000e-01,2.880000e-01,4.033054e+00,8.828960e+00,3.678179e+02,1.323369e+02,2.658455e-01,1.057883e-01,3.930236e+00,3.800223e+00,0.000000e+00,1.599621e-01,-5.090966e-01,-2.775324e-01,3.421140e+00,3.682653e+00
3.937500e+06,1.766475e+00,1.065161e+00,7.103793e+00,4.283491e+00,2.000000e+00,1.939087e+02,5.000000e+02,1.538433e+05,9.276544e+04,9.277746e+01,-9.249371e+00,8.352809e+01,9.969416e+00,6.164821e+01,9.936194e+01,3.832083e+03,7.608778e-01,1.005597e+00,1.869561e-01,7.149467e-04,6.055500e-03,1.867123e-01,3.804389e-01,4.972655e-01,2.800685e-01,2.282633e-01,1.000955e+00,7.655205e-01,6.500000e+01,8.482866e+01,2.912101e+03,1.047389e+01,8.952611e+01,6.608552e+01,6.004412e+01,6.189390e+01,3.600000e-01,2.880000e-01,4.033054e+00,8.828960e+00,3.678179e+02,1.323369e+02,2.658455e-01,1.057883e-01,3.930236e+00,3.800223e+00,0.000000e+00,1.599621e-01,-5.090966e-01,-2.775324e-01,3.421140e+00,3.682653e+00
4.543750e+06,1.766475e+00,1.065161e+00,7.103793e+00,4.283491e+00,2.000000e+00,1.939087e+02,5.000000e+02,1.538433e+05,9.276544e+04,9.277746e+01,-9.249371e+00,8.352809e+01,9.969416e+00,6.164821e+01,9.936194e+01,3.832083e+03,7.608778e-01,1.005597e+00,1.869561e-01,7.149467e-04,6.055500e-03,1.867123e-01,3.804389e-01,4.972655e-01,2.800685e-01,2.282633e-01,1.000955e+00,7.655205e-01,6.500000e+01,8.482866e+01,2.912101e+03,1.047389e+01,8.952611e+01,6.608552e+01,6.004412e+01,6.189390e+01,3.600000e-01,2.880000e-01,4.033054e+00,8.828960e+00,3.678179e+02,1.323369e+02,2.658455e-01,1.057883e-01,3.930236e+00,3.800223e+00,0.000000e+00,1.599621e-01,-5.090966e-01,-2.775324e-01,3.421140e+00,3.682653e+00
5.150000e+06,1.766475e+00,1.065161e+00,7.103793e+00,4.283491e+00,2.000000e+00,1.939087e+02,5.000000e+02,1.538433e+05,9.276544e+04,9.277746e+01,-9.249371e+00,8.352809e+01,9.969416e+00,6.164821e+01,9.936194e+01,3.832083e+03,7.608778e-01,1.005597e+00,1.869561e-01,7.149467e-04,6.055500e-03,1.867123e-01,3.804389e-01,4.972655e-01,2.800685e-01,2.282633e-01,1.000955e+00,7.655205e-01,6.500000e+01,8.482866e+01,2.912101e+03,1.047389e+01,8.952611e+01,6.608552e+01,6.004412e+01,6.189390e+01,3.600000e-01,2.880000e-01,4.033054e+00,8.828960e+00,3.678179e+02,1.323369e+02,2.658455e-01,1.057883e-01,3.930236e+00,3.800223e+00,0.000000e+00,1.599621e-01,-5.090966e-01,-2.775324e-01,3.421140e+00,3.682653e+00
5.756250e+06,1.766475e+00,1.065161e+00,7.103793e+00,4.283491e+00,2.000000e+00,1.939087e+02,5.000000e+02,1.538433e+05,9.276544e+04,9.277746e+01,-9.249371e+00,8.352809e+01,9.969416e+00,6.164821e+01,9.936194e+01,3.832083e+03,7.608778e-01,1.005597e+00,1.869561e-01,7.149467e-04,6.055500e-03,1.867123e-01,3.804389e-01,4.972655e-01,2.800685e-01,2.282633e-01,1.000955e+00,7.655205e-01,6.500000e+01,8.482866e+01,2.912101e+03,1.047389e+01,8.952611e+01,6.608552e+01,6.004412e+01,6.189390e+01,3.600000e-01,2.880000e-01,4.033054e+00,8.828960e+00,3.678179e+02,1.323369e+02,2.658455e-01,1.057883e-01,3.930236e+00,3.800223e+00,0.000000e+00,1.599621e-01,-5.090966e-01,-2.775324e-01,3.421140e+00,3.682653e+00
