# Feed Concentration,Volumetric Recovery Rate,LCOW,LCOW wrt Feed Flow,SEC,SEC wrt Feed,Number of Stages,Final Brine Concentration,Final Permeate Concentration (ppm),Annual Feed Flow,Annual Water Production,Pump Work In (kW),Pump Work Recovered (kW),Net Pump Work In (kW),Energy Recovery (%),Mass Water Recovery Rate (%),System Salt Rejection (%),Total Membrane Area,Total Capex LCOW,Total Opex LCOW,Primary Pump Capex LCOW,Recycle Pump Capex LCOW,ERD Capex LCOW,Membrane Capex LCOW,Indirect Capex LCOW,Electricity LCOW,Membrane Replacement LCOW,Chem-labor-maintenance LCOW,Pumping Energy Agg LCOW,Membrane Agg LCOW,Feed Pressure (bar)-Stage 1,Feed Pressure (bar)-Stage 2,Feed Pressure (bar)-Stage 3,Membrane Area-Stage 1,Membrane Area-Stage 2,Observed Rejection (%)-Stage 1,Observed Rejection (%)-Stage 2,Observed Salt Passage (%)-Stage 1,Observed Salt Passage (%)-Stage 2,Mass Salt Passage (%)-Stage 1,Mass Salt Passage (%)-Stage 2,Volumetric Module Recovery Rate (%)-Stage 1,Volumetric Module Recovery Rate (%)-Stage 2,Mass Water Module Recovery Rate (%)-Stage 1,Mass Water Module Recovery Rate (%)-Stage 2,A-Value (LMH/bar)-Stage 1,A-Value (LMH/bar)-Stage 2,B-Value (LMH)-Stage 1,B-Value (LMH)-Stage 2,Average Water Flux (LMH)-Stage 1,Average Water Flux (LMH)-Stage 2,Average NaCl Flux (GMH)-Stage 1,Average NaCl Flux (GMH)-Stage 2,Inlet Reynolds Number-Stage 1,Inlet Reynolds Number-Stage 2,Outlet Reynolds Number-Stage 1,Outlet Reynolds Number-Stage 2,Inlet Crossflow Velocity-Stage 1,Inlet Crossflow Velocity-Stage 2,Outlet Crossflow Velocity-Stage 1,Outlet Crossflow Velocity-Stage 2,Primary Pump SEC-Stage 1,Primary Pump SEC-Stage 2,Primary Pump SEC-Stage 3,Recycle Pump SEC-Stage 1,Recycle Pump SEC-Stage 2,Recycle Pump SEC-Stage 3,ERD SEC-Stage 1,ERD SEC-Stage 2,ERD SEC-Stage 3,Net SEC-Stage 1,Net SEC-Stage 2,Net SEC-Stage 3
5.000000e+00,3.000000e-01,7.041106e-01,2.112332e-01,2.369876e+00,7.109628e-01,3.000000e+00,7.125984e+00,3.942265e+01,2.840184e+04,8.520552e+03,3.394149e+00,-8.346827e-01,2.559466e+00,2.459181e+01,3.003641e+01,9.921547e+01,2.009965e+02,3.323585e-01,3.717521e-01,7.575292e-02,2.519675e-04,1.940551e-02,7.076884e-02,1.661792e-01,1.658913e-01,1.061533e-01,9.970754e-02,4.139584e-01,2.901522e-01,1.283240e+01,1.962811e+01,1.800719e+01,8.575169e+01,5.697102e+01,4.357077e+01,5.751344e+01,5.642923e+01,4.248656e+01,2.308149e+01,3.629706e+01,2.999950e+01,7.334307e+01,3.003641e+01,7.339311e+01,1.512000e+00,1.512000e+00,1.260000e-01,1.260000e-01,1.253141e+01,1.886204e+01,4.940409e-01,7.436210e-01,1.137668e+02,1.567162e+02,7.940026e+01,4.133188e+01,1.062147e-01,1.458622e-01,7.435091e-02,3.888358e-02,1.459154e+00,9.400147e-01,7.331430e-01,0.000000e+00,2.586629e-03,7.831989e-03,-5.760231e-01,-1.365297e-01,-6.030149e-02,8.831309e-01,8.060716e-01,6.806735e-01
5.000000e+00,3.375000e-01,6.830460e-01,2.305280e-01,2.351462e+00,7.936184e-01,3.000000e+00,7.526679e+00,4.026387e+01,2.840184e+04,9.585621e+03,3.704789e+00,-8.477633e-01,2.857026e+00,2.288290e+01,3.379095e+01,9.919872e+01,2.209408e+02,3.190172e-01,3.640288e-01,7.349371e-02,2.494394e-04,1.661789e-02,6.914756e-02,1.595086e-01,1.646023e-01,1.037213e-01,9.570516e-02,3.995410e-01,2.835050e-01,1.347158e+01,1.995227e+01,1.822925e+01,9.170380e+01,6.390733e+01,4.372345e+01,5.979854e+01,5.627655e+01,4.020146e+01,2.547305e+01,3.436358e+01,3.374942e+01,7.456208e+01,3.379095e+01,7.461279e+01,1.512000e+00,1.512000e+00,1.260000e-01,1.260000e-01,1.318280e+01,1.891666e+01,5.308121e-01,7.616887e-01,1.076307e+02,1.643329e+02,7.105405e+01,4.133188e+01,1.004860e-01,1.529498e-01,6.657267e-02,3.890859e-02,1.367169e+00,9.407480e-01,7.309786e-01,0.000000e+00,2.557540e-03,7.756545e-03,-5.147935e-01,-1.290957e-01,-5.385836e-02,8.523753e-01,8.142098e-01,6.848767e-01
5.000000e+00,3.750000e-01,6.666914e-01,2.500093e-01,2.356762e+00,8.837858e-01,3.000000e+00,7.975435e+00,4.096573e+01,2.840184e+04,1.065069e+04,4.029144e+00,-8.475148e-01,3.181629e+00,2.103461e+01,3.754549e+01,9.918476e+01,2.397799e+02,3.080071e-01,3.586844e-01,7.191178e-02,2.676404e-04,1.428485e-02,6.753926e-02,1.540035e-01,1.649734e-01,1.013089e-01,9.240212e-02,3.897805e-01,2.769110e-01,1.412697e+01,2.057473e+01,1.844326e+01,9.725799e+01,7.018291e+01,4.481638e+01,6.118813e+01,5.518362e+01,3.881187e+01,2.707032e+01,3.357645e+01,3.749933e+01,7.644441e+01,3.754549e+01,7.649535e+01,1.512000e+00,1.512000e+00,1.260000e-01,1.260000e-01,1.381107e+01,1.913909e+01,5.658036e-01,7.840787e-01,1.071103e+02,1.776325e+02,6.666647e+01,4.133188e+01,1.000000e-01,1.653153e-01,6.250086e-02,3.894259e-02,1.295182e+00,9.477418e-01,7.305604e-01,0.000000e+00,2.608475e-03,8.458201e-03,-4.607779e-01,-1.183740e-01,-4.863675e-02,8.344042e-01,8.319762e-01,6.903819e-01
5.000000e+00,4.125000e-01,6.546647e-01,2.700492e-01,2.345822e+00,9.676515e-01,3.000000e+00,8.481130e+00,4.203367e+01,2.840184e+04,1.171576e+04,4.331987e+00,-8.484414e-01,3.483545e+00,1.958550e+01,4.130003e+01,9.916350e+01,2.613864e+02,3.000455e-01,3.546192e-01,7.026956e-02,2.801184e-04,1.254109e-02,6.693199e-02,1.500228e-01,1.642075e-01,1.003980e-01,9.001366e-02,3.802435e-01,2.744212e-01,1.467338e+01,2.070030e+01,1.856178e+01,1.035640e+02,7.779473e+01,4.403589e+01,6.191681e+01,5.596411e+01,3.808319e+01,2.999356e+01,3.299986e+01,4.124922e+01,7.696676e+01,4.130003e+01,7.701878e+01,1.512000e+00,1.512000e+00,1.260000e-01,1.260000e-01,1.426712e+01,1.899306e+01,5.997248e-01,7.983816e-01,1.071103e+02,1.817564e+02,6.262267e+01,4.133188e+01,1.000000e-01,1.691626e-01,5.875101e-02,3.896538e-02,1.226499e+00,9.473521e-01,7.317290e-01,0.000000e+00,2.960376e-03,8.622256e-03,-4.102246e-01,-1.148199e-01,-4.629652e-02,8.162744e-01,8.354926e-01,6.940547e-01
5.000000e+00,4.500000e-01,6.453523e-01,2.904085e-01,2.350628e+00,1.057783e+00,3.000000e+00,9.055526e+00,4.323022e+01,2.840184e+04,1.278083e+04,4.664891e+00,-8.568739e-01,3.808017e+00,1.836857e+01,4.505457e+01,9.913969e+01,2.813634e+02,2.936486e-01,3.517037e-01,6.935285e-02,2.874900e-04,1.114049e-02,6.604346e-02,1.468243e-01,1.645439e-01,9.906520e-02,8.809458e-02,3.745741e-01,2.707782e-01,1.531801e+01,2.077763e+01,1.881593e+01,1.088206e+02,8.531438e+01,4.237500e+01,6.237298e+01,5.762500e+01,3.762702e+01,3.365952e+01,3.253983e+01,4.499910e+01,7.703944e+01,4.505457e+01,7.709307e+01,1.512000e+00,1.512000e+00,1.260000e-01,1.260000e-01,1.481229e+01,1.889345e+01,6.403663e-01,8.168035e-01,1.071102e+02,1.824081e+02,5.857904e+01,4.133188e+01,1.000000e-01,1.697892e-01,5.500116e-02,3.898643e-02,1.177346e+00,9.501756e-01,7.401531e-01,0.000000e+00,3.405181e-03,8.482261e-03,-3.690760e-01,-1.146316e-01,-4.522683e-02,8.082702e-01,8.389491e-01,7.034085e-01
5.000000e+00,4.875000e-01,6.380813e-01,3.110646e-01,2.360412e+00,1.150701e+00,3.000000e+00,9.713590e+00,4.464391e+01,2.840184e+04,1.384590e+04,5.003130e+00,-8.606066e-01,4.142523e+00,1.720136e+01,4.880910e+01,9.911156e+01,3.013866e+02,2.883846e-01,3.496967e-01,6.864928e-02,2.951276e-04,9.946218e-03,6.530165e-02,1.441923e-01,1.652289e-01,9.795248e-02,8.651537e-02,3.703445e-01,2.677368e-01,1.594955e+01,2.088296e+01,1.910453e+01,1.140440e+02,9.292064e+01,4.041981e+01,6.294422e+01,5.958019e+01,3.705578e+01,3.765757e+01,3.197882e+01,4.874896e+01,7.712970e+01,4.880910e+01,7.718524e+01,1.512000e+00,1.512000e+00,1.260000e-01,1.260000e-01,1.531168e+01,1.879245e+01,6.836039e-01,8.390057e-01,1.071102e+02,1.832195e+02,5.453566e+01,4.133188e+01,1.000000e-01,1.705682e-01,5.125134e-02,3.901149e-02,1.134762e+00,9.541210e-01,7.497005e-01,0.000000e+00,3.873840e-03,8.329409e-03,-3.318477e-01,-1.144725e-01,-4.405386e-02,8.029138e-01,8.435223e-01,7.139760e-01
5.000000e+00,5.250000e-01,6.326036e-01,3.321169e-01,2.374980e+00,1.246865e+00,3.000000e+00,1.047504e+01,4.631484e+01,2.840184e+04,1.491097e+04,5.348562e+00,-8.598491e-01,4.488713e+00,1.607627e+01,5.256362e+01,9.907830e+01,3.215410e+02,2.840898e-01,3.485139e-01,6.813693e-02,3.030121e-04,8.912757e-03,6.469219e-02,1.420449e-01,1.662486e-01,9.703829e-02,8.522694e-02,3.673657e-01,2.652380e-01,1.657254e+01,2.101926e+01,1.943020e+01,1.192880e+02,1.006308e+02,3.811298e+01,6.363819e+01,6.188702e+01,3.636181e+01,4.206461e+01,3.131110e+01,5.249878e+01,7.723945e+01,5.256362e+01,7.729726e+01,1.512000e+00,1.512000e+00,1.260000e-01,1.260000e-01,1.576462e+01,1.868741e+01,7.301695e-01,8.655445e-01,1.071103e+02,1.842129e+02,5.049255e+01,4.133188e+01,1.000000e-01,1.715211e-01,4.750155e-02,3.904137e-02,1.097657e+00,9.593008e-01,7.604397e-01,0.000000e+00,4.365541e-03,8.163725e-03,-2.978372e-01,-1.143381e-01,-4.277134e-02,7.998201e-01,8.493283e-01,7.258321e-01
5.000000e+00,5.625000e-01,6.287697e-01,3.536829e-01,2.394338e+00,1.346815e+00,3.000000e+00,1.136632e+01,4.829481e+01,2.840184e+04,1.597604e+04,5.703274e+00,-8.547395e-01,4.848535e+00,1.498682e+01,5.631814e+01,9.903890e+01,3.419309e+02,2.806567e-01,3.481130e-01,6.780243e-02,3.111379e-04,8.006547e-03,6.420822e-02,1.403283e-01,1.676037e-01,9.631233e-02,8.419700e-02,3.655160e-01,2.632537e-01,1.719106e+01,2.119121e+01,1.979639e+01,1.246153e+02,1.084665e+02,3.538001e+01,6.446427e+01,6.461999e+01,3.553573e+01,4.697909e+01,3.052999e+01,5.624857e+01,7.737164e+01,5.631814e+01,7.743214e+01,1.512000e+00,1.512000e+00,1.260000e-01,1.260000e-01,1.616858e+01,1.857580e+01,7.808962e-01,8.971584e-01,1.071103e+02,1.854217e+02,4.644980e+01,4.133188e+01,1.000000e-01,1.726801e-01,4.375180e-02,3.907715e-02,1.065205e+00,9.658924e-01,7.724688e-01,0.000000e+00,4.879456e-03,7.985802e-03,-2.664964e-01,-1.142238e-01,-4.137335e-02,7.987090e-01,8.565480e-01,7.390812e-01
5.000000e+00,6.000000e-01,6.265110e-01,3.759066e-01,2.418685e+00,1.451211e+00,3.000000e+00,1.242375e+01,5.065130e+01,2.840184e+04,1.704110e+04,6.069708e+00,-8.453475e-01,5.224361e+00,1.392732e+01,6.007265e+01,9.899200e+01,3.626892e+02,2.780220e-01,3.484890e-01,6.763971e-02,3.195178e-04,7.202164e-03,6.384960e-02,1.390110e-01,1.693080e-01,9.577440e-02,8.340660e-02,3.647276e-01,2.617834e-01,1.780873e+01,2.140561e+01,2.020769e+01,1.301038e+02,1.164546e+02,3.212273e+01,6.543305e+01,6.787727e+01,3.456695e+01,5.252902e+01,2.962835e+01,5.999831e+01,7.753058e+01,6.007265e+01,7.759432e+01,1.512000e+00,1.512000e+00,1.260000e-01,1.260000e-01,1.651891e+01,1.845504e+01,8.367468e-01,9.348192e-01,1.071103e+02,1.868947e+02,4.240749e+01,4.133188e+01,1.000000e-01,1.740922e-01,4.000210e-02,3.912030e-02,1.036758e+00,9.741537e-01,7.859265e-01,0.000000e+00,5.414668e-03,7.797092e-03,-2.373868e-01,-1.141235e-01,-3.985429e-02,7.993712e-01,8.654449e-01,7.538693e-01
5.000000e+00,6.375000e-01,6.261277e-01,3.991564e-01,2.456888e+00,1.566266e+00,3.000000e+00,1.369949e+01,5.296945e+01,2.840184e+04,1.810617e+04,6.470432e+00,-8.318749e-01,5.638557e+00,1.285656e+01,6.382715e+01,9.894587e+01,3.827623e+02,2.761662e-01,3.499615e-01,6.782981e-02,3.545808e-04,6.479074e-03,6.341964e-02,1.380831e-01,1.719821e-01,9.512945e-02,8.284986e-02,3.661072e-01,2.600205e-01,1.858752e+01,2.166863e+01,2.063385e+01,1.350493e+02,1.243518e+02,2.900491e+01,6.623072e+01,7.099509e+01,3.376928e+01,5.818146e+01,2.892815e+01,6.374801e+01,7.778939e+01,6.382715e+01,7.785632e+01,1.512000e+00,1.512000e+00,1.260000e-01,1.260000e-01,1.690861e+01,1.836320e+01,8.956872e-01,9.727399e-01,1.153913e+02,1.892498e+02,4.133189e+01,4.133188e+01,1.077313e-01,1.763250e-01,3.905524e-02,3.916602e-02,1.021018e+00,9.834348e-01,8.002460e-01,0.000000e+00,6.925857e-03,7.735725e-03,-2.104842e-01,-1.134859e-01,-3.850260e-02,8.105338e-01,8.768747e-01,7.694791e-01
