# Max Pressure for Recycle Pump,LCOW,LCOW wrt Feed Flow,SEC,SEC wrt Feed,Number of Stages,Final Brine Concentration,Final Permeate Concentration (ppm),Annual Feed Flow,Annual Water Production,Pump Work In (kW),Pump Work Recovered (kW),Net Pump Work In (kW),Energy Recovery (%),Mass Water Recovery Rate (%),System Salt Rejection (%),Total Membrane Area,Total Capex LCOW,Total Opex LCOW,Primary Pump Capex LCOW,Recycle Pump Capex LCOW,ERD Capex LCOW,Membrane Capex LCOW,Indirect Capex LCOW,Electricity LCOW,Membrane Replacement LCOW,Chem-labor-maintenance LCOW,Pumping Energy Agg LCOW,Membrane Agg LCOW,Feed Pressure (bar)-Stage 1,Feed Pressure (bar)-Stage 2,Feed Pressure (bar)-Stage 3,Membrane Area-Stage 1,Membrane Area-Stage 2,Observed Rejection (%)-Stage 1,Observed Rejection (%)-Stage 2,Observed Salt Passage (%)-Stage 1,Observed Salt Passage (%)-Stage 2,Mass Salt Passage (%)-Stage 1,Mass Salt Passage (%)-Stage 2,Volumetric Module Recovery Rate (%)-Stage 1,Volumetric Module Recovery Rate (%)-Stage 2,Mass Water Module Recovery Rate (%)-Stage 1,Mass Water Module Recovery Rate (%)-Stage 2,A-Value (LMH/bar)-Stage 1,A-Value (LMH/bar)-Stage 2,B-Value (LMH)-Stage 1,B-Value (LMH)-Stage 2,Average Water Flux (LMH)-Stage 1,Average Water Flux (LMH)-Stage 2,Average NaCl Flux (GMH)-Stage 1,Average NaCl Flux (GMH)-Stage 2,Inlet Reynolds Number-Stage 1,Inlet Reynolds Number-Stage 2,Outlet Reynolds Number-Stage 1,Outlet Reynolds Number-Stage 2,Inlet Crossflow Velocity-Stage 1,Inlet Crossflow Velocity-Stage 2,Outlet Crossflow Velocity-Stage 1,Outlet Crossflow Velocity-Stage 2,Primary Pump SEC-Stage 1,Primary Pump SEC-Stage 2,Primary Pump SEC-Stage 3,Recycle Pump SEC-Stage 1,Recycle Pump SEC-Stage 2,Recycle Pump SEC-Stage 3,ERD SEC-Stage 1,ERD SEC-Stage 2,ERD SEC-Stage 3,Net SEC-Stage 1,Net SEC-Stage 2,Net SEC-Stage 3
3.000000e+05,2.922560e+00,9.778914e-01,9.756733e+00,3.264613e+00,3.000000e+00,1.167370e+02,5.000000e+02,1.538433e+05,5.147611e+04,9.313577e+01,-2.947583e+01,6.365994e+01,3.164824e+01,3.420898e+01,9.936194e+01,3.428418e+03,1.362097e+00,1.560462e+00,3.430817e-01,3.751543e-03,2.164096e-02,3.125745e-01,6.810487e-01,6.829713e-01,4.688617e-01,4.086292e-01,1.641004e+00,1.281555e+00,6.500000e+01,6.500000e+01,5.877711e+01,1.653074e+03,1.249358e+03,3.553936e+01,1.264462e+01,6.446064e+01,8.735538e+01,3.405509e+01,8.693142e+01,3.126036e+01,6.443477e+01,3.200528e+01,6.541800e+01,3.600000e-01,3.600000e-01,2.880000e-01,2.880000e-01,3.673854e+00,5.294788e+00,1.630547e+01,1.493384e+01,1.990777e+02,1.265508e+02,1.324395e+02,4.133188e+01,1.438862e-01,8.869468e-02,9.895838e-02,3.158046e-02,7.082703e+00,3.741850e+00,3.361551e+00,0.000000e+00,4.743640e-02,4.075660e-02,-3.010082e+00,-8.707627e-01,-6.367190e-01,4.072621e+00,2.918524e+00,2.765588e+00
9.062500e+05,2.649660e+00,1.099811e+00,8.917385e+00,3.701396e+00,3.000000e+00,1.325764e+02,4.999997e+02,1.538433e+05,6.385671e+04,9.574070e+01,-2.356349e+01,7.217721e+01,2.461178e+01,4.243663e+01,9.936194e+01,4.156020e+03,1.207223e+00,1.442437e+00,2.827960e-01,2.270277e-03,1.451030e-02,3.040351e-01,6.036117e-01,6.242169e-01,4.560527e-01,3.621670e-01,1.403116e+00,1.246544e+00,6.500000e+01,6.500000e+01,6.298084e+01,1.888106e+03,1.585206e+03,3.723448e+01,2.922360e-05,6.276552e+01,9.999997e+01,3.341798e+01,9.999996e+01,3.471522e+01,7.825323e+01,3.555110e+01,7.958043e+01,3.600000e-01,3.600000e-01,2.880000e-01,2.880000e-01,3.572886e+00,5.118013e+00,1.552391e+01,1.153258e+01,2.351056e+02,2.209042e+02,1.477689e+02,4.133190e+01,1.699259e-01,1.545837e-01,1.110004e-01,3.361697e-02,5.709502e+00,3.039886e+00,2.943959e+00,0.000000e+00,5.211134e-02,8.316053e-02,-2.169318e+00,-3.900937e-01,-3.518216e-01,3.540183e+00,2.701904e+00,2.675298e+00
1.512500e+06,2.590743e+00,1.106509e+00,8.825822e+00,3.769518e+00,3.000000e+00,1.353465e+02,4.624260e+02,1.538433e+05,6.570663e+04,9.587491e+01,-2.236933e+01,7.350559e+01,2.333178e+01,4.366641e+01,9.940990e+01,4.185317e+03,1.174634e+00,1.416109e+00,2.744385e-01,2.043061e-03,1.356089e-02,2.972744e-01,5.873168e-01,6.178075e-01,4.459116e-01,3.523901e-01,1.371918e+00,1.218825e+00,6.500000e+01,6.500000e+01,6.402642e+01,1.856545e+03,1.631929e+03,3.595948e+01,2.606919e-05,6.404052e+01,9.999997e+01,3.412170e+01,9.763308e+01,3.470714e+01,8.017223e+01,3.554741e+01,8.163677e+01,3.600000e-01,3.600000e-01,2.880000e-01,2.880000e-01,3.633247e+00,5.102153e+00,1.549554e+01,9.803677e+00,2.350803e+02,2.844247e+02,1.477586e+02,4.762576e+01,1.699075e-01,1.992662e-01,1.109962e-01,3.945049e-02,5.548755e+00,2.956455e+00,2.842561e+00,0.000000e+00,5.008810e-02,1.138487e-01,-2.114113e+00,-3.040075e-01,-2.677664e-01,3.434643e+00,2.702536e+00,2.688643e+00
2.118750e+06,2.559926e+00,1.111445e+00,8.806674e+00,3.823600e+00,3.000000e+00,1.370349e+02,4.335297e+02,1.538433e+05,6.679425e+04,9.609602e+01,-2.153583e+01,7.456018e+01,2.241074e+01,4.438951e+01,9.944679e+01,4.198579e+03,1.156488e+00,1.403438e+00,2.699240e-01,1.924060e-03,1.304652e-02,2.933494e-01,5.782440e-01,6.164672e-01,4.400241e-01,3.469464e-01,1.357193e+00,1.202732e+00,6.500000e+01,6.500000e+01,6.467918e+01,1.840839e+03,1.658318e+03,3.530760e+01,3.818525e-05,6.469240e+01,9.999996e+01,3.445220e+01,9.666293e+01,3.471078e+01,8.137088e+01,3.555372e+01,8.292739e+01,3.600000e-01,3.600000e-01,2.880000e-01,2.880000e-01,3.664897e+00,5.097080e+00,1.546696e+01,8.452643e+00,2.358016e+02,3.320506e+02,1.481947e+02,5.156069e+01,1.704289e-01,2.327710e-01,1.113272e-01,4.324319e-02,5.458405e+00,2.906896e+00,2.795803e+00,0.000000e+00,4.912100e-02,1.401534e-01,-2.079985e+00,-2.420096e-01,-2.217097e-01,3.378420e+00,2.714007e+00,2.714247e+00
2.725000e+06,2.540423e+00,1.115998e+00,8.805260e+00,3.868115e+00,3.000000e+00,1.382845e+02,4.139881e+02,1.538433e+05,6.758272e+04,9.630595e+01,-2.087772e+01,7.542823e+01,2.167854e+01,4.491372e+01,9.947173e+01,4.212697e+03,1.144387e+00,1.396036e+00,2.667521e-01,1.845087e-03,1.269482e-02,2.909014e-01,5.721934e-01,6.163682e-01,4.363521e-01,3.433161e-01,1.347728e+00,1.192696e+00,6.500000e+01,6.500000e+01,6.507267e+01,1.831548e+03,1.679361e+03,3.491599e+01,4.970313e-05,6.508401e+01,9.999995e+01,3.462760e+01,9.622410e+01,3.472120e+01,8.229318e+01,3.556614e+01,8.391999e+01,3.600000e-01,3.600000e-01,2.880000e-01,2.880000e-01,3.684775e+00,5.088121e+00,1.543819e+01,7.319971e+00,2.368399e+02,3.705967e+02,1.488155e+02,5.411489e+01,1.711793e-01,2.598849e-01,1.117973e-01,4.584215e-02,5.394722e+00,2.870233e+00,2.764994e+00,0.000000e+00,4.856023e-02,1.639526e-01,-2.053726e+00,-1.909596e-01,-1.925155e-01,3.340996e+00,2.727834e+00,2.736431e+00
3.331250e+06,2.531663e+00,1.125261e+00,8.772723e+00,3.899256e+00,3.000000e+00,1.395643e+02,4.022122e+02,1.538433e+05,6.837947e+04,9.631945e+01,-2.028398e+01,7.603546e+01,2.105907e+01,4.544335e+01,9.948677e+01,4.273230e+03,1.138358e+00,1.393305e+00,2.632373e-01,1.774170e-03,1.236320e-02,2.918044e-01,5.691791e-01,6.140906e-01,4.377066e-01,3.415074e-01,1.335265e+00,1.196398e+00,6.500000e+01,6.500000e+01,6.482127e+01,1.842151e+03,1.724720e+03,3.534050e+01,1.368227e-05,6.465950e+01,9.999999e+01,3.419803e+01,9.717805e+01,3.481487e+01,8.371813e+01,3.566240e+01,8.537920e+01,3.600000e-01,3.600000e-01,2.880000e-01,2.880000e-01,3.673480e+00,5.011100e+00,1.533676e+01,6.724344e+00,2.424625e+02,3.863613e+02,1.521064e+02,5.120270e+01,1.752431e-01,2.708352e-01,1.142875e-01,4.394468e-02,5.331863e+00,2.819991e+00,2.732758e+00,0.000000e+00,4.912516e-02,1.792844e-01,-2.007292e+00,-1.547409e-01,-1.782667e-01,3.324571e+00,2.714376e+00,2.733776e+00
3.937500e+06,2.531663e+00,1.125261e+00,8.772723e+00,3.899256e+00,3.000000e+00,1.395643e+02,4.022121e+02,1.538433e+05,6.837948e+04,9.631945e+01,-2.028398e+01,7.603547e+01,2.105907e+01,4.544336e+01,9.948677e+01,4.273231e+03,1.138358e+00,1.393305e+00,2.632373e-01,1.774170e-03,1.236320e-02,2.918044e-01,5.691791e-01,6.140906e-01,4.377067e-01,3.415074e-01,1.335265e+00,1.196398e+00,6.500000e+01,6.500000e+01,6.482126e+01,1.842152e+03,1.724720e+03,3.534050e+01,3.773236e-05,6.465950e+01,9.999996e+01,3.419804e+01,9.717802e+01,3.481487e+01,8.371813e+01,3.566240e+01,8.537920e+01,3.600000e-01,3.600000e-01,2.880000e-01,2.880000e-01,3.673480e+00,5.011100e+00,1.533676e+01,6.724344e+00,2.424625e+02,3.863613e+02,1.521063e+02,5.120272e+01,1.752431e-01,2.708352e-01,1.142874e-01,4.394470e-02,5.331863e+00,2.819992e+00,2.732758e+00,0.000000e+00,4.912517e-02,1.792844e-01,-2.007292e+00,-1.547410e-01,-1.782667e-01,3.324571e+00,2.714376e+00,2.733776e+00
4.543750e+06,2.531663e+00,1.125261e+00,8.772723e+00,3.899256e+00,3.000000e+00,1.395643e+02,4.022121e+02,1.538433e+05,6.837948e+04,9.631945e+01,-2.028398e+01,7.603547e+01,2.105907e+01,4.544336e+01,9.948677e+01,4.273231e+03,1.138358e+00,1.393305e+00,2.632373e-01,1.774170e-03,1.236320e-02,2.918044e-01,5.691791e-01,6.140906e-01,4.377067e-01,3.415074e-01,1.335265e+00,1.196398e+00,6.500000e+01,6.500000e+01,6.482126e+01,1.842152e+03,1.724720e+03,3.534050e+01,3.773236e-05,6.465950e+01,9.999996e+01,3.419804e+01,9.717802e+01,3.481487e+01,8.371813e+01,3.566240e+01,8.537920e+01,3.600000e-01,3.600000e-01,2.880000e-01,2.880000e-01,3.673480e+00,5.011100e+00,1.533676e+01,6.724344e+00,2.424625e+02,3.863613e+02,1.521063e+02,5.120272e+01,1.752431e-01,2.708352e-01,1.142874e-01,4.394470e-02,5.331863e+00,2.819992e+00,2.732758e+00,0.000000e+00,4.912517e-02,1.792844e-01,-2.007292e+00,-1.547410e-01,-1.782667e-01,3.324571e+00,2.714376e+00,2.733776e+00
5.150000e+06,2.531663e+00,1.125261e+00,8.772723e+00,3.899256e+00,3.000000e+00,1.395643e+02,4.022121e+02,1.538433e+05,6.837948e+04,9.631945e+01,-2.028398e+01,7.603547e+01,2.105907e+01,4.544336e+01,9.948677e+01,4.273231e+03,1.138358e+00,1.393305e+00,2.632373e-01,1.774170e-03,1.236320e-02,2.918044e-01,5.691791e-01,6.140906e-01,4.377067e-01,3.415074e-01,1.335265e+00,1.196398e+00,6.500000e+01,6.500000e+01,6.482126e+01,1.842152e+03,1.724720e+03,3.534050e+01,3.773236e-05,6.465950e+01,9.999996e+01,3.419804e+01,9.717802e+01,3.481487e+01,8.371813e+01,3.566240e+01,8.537920e+01,3.600000e-01,3.600000e-01,2.880000e-01,2.880000e-01,3.673480e+00,5.011100e+00,1.533676e+01,6.724344e+00,2.424625e+02,3.863613e+02,1.521063e+02,5.120272e+01,1.752431e-01,2.708352e-01,1.142874e-01,4.394469e-02,5.331863e+00,2.819992e+00,2.732758e+00,0.000000e+00,4.912517e-02,1.792844e-01,-2.007292e+00,-1.547410e-01,-1.782667e-01,3.324571e+00,2.714376e+00,2.733776e+00
5.756250e+06,2.531663e+00,1.125261e+00,8.772723e+00,3.899256e+00,3.000000e+00,1.395643e+02,4.022121e+02,1.538433e+05,6.837948e+04,9.631945e+01,-2.028398e+01,7.603547e+01,2.105907e+01,4.544336e+01,9.948677e+01,4.273231e+03,1.138358e+00,1.393305e+00,2.632373e-01,1.774170e-03,1.236320e-02,2.918044e-01,5.691791e-01,6.140906e-01,4.377067e-01,3.415074e-01,1.335265e+00,1.196398e+00,6.500000e+01,6.500000e+01,6.482126e+01,1.842152e+03,1.724720e+03,3.534050e+01,3.773236e-05,6.465950e+01,9.999996e+01,3.419804e+01,9.717802e+01,3.481487e+01,8.371813e+01,3.566240e+01,8.537920e+01,3.600000e-01,3.600000e-01,2.880000e-01,2.880000e-01,3.673480e+00,5.011100e+00,1.533676e+01,6.724344e+00,2.424625e+02,3.863613e+02,1.521063e+02,5.120272e+01,1.752431e-01,2.708352e-01,1.142874e-01,4.394469e-02,5.331863e+00,2.819992e+00,2.732758e+00,0.000000e+00,4.912517e-02,1.792844e-01,-2.007292e+00,-1.547410e-01,-1.782667e-01,3.324571e+00,2.714376e+00,2.733776e+00
