# Feed Concentration,Volumetric Recovery Rate,LCOW,LCOW wrt Feed Flow,SEC,SEC wrt Feed,Number of Stages,Final Brine Concentration,Final Permeate Concentration (ppm),Annual Feed Flow,Annual Water Production,Pump Work In (kW),Pump Work Recovered (kW),Net Pump Work In (kW),Energy Recovery (%),Mass Water Recovery Rate (%),System Salt Rejection (%),Total Membrane Area,Total Capex LCOW,Total Opex LCOW,Primary Pump Capex LCOW,Recycle Pump Capex LCOW,ERD Capex LCOW,Membrane Capex LCOW,Indirect Capex LCOW,Electricity LCOW,Membrane Replacement LCOW,Chem-labor-maintenance LCOW,Pumping Energy Agg LCOW,Membrane Agg LCOW,Feed Pressure (bar)-Stage 1,Feed Pressure (bar)-Stage 2,Feed Pressure (bar)-Stage 3,Feed Pressure (bar)-Stage 4,Membrane Area-Stage 1,Membrane Area-Stage 2,Membrane Area-Stage 3,Observed Rejection (%)-Stage 1,Observed Rejection (%)-Stage 2,Observed Rejection (%)-Stage 3,Observed Salt Passage (%)-Stage 1,Observed Salt Passage (%)-Stage 2,Observed Salt Passage (%)-Stage 3,Mass Salt Passage (%)-Stage 1,Mass Salt Passage (%)-Stage 2,Mass Salt Passage (%)-Stage 3,Volumetric Module Recovery Rate (%)-Stage 1,Volumetric Module Recovery Rate (%)-Stage 2,Volumetric Module Recovery Rate (%)-Stage 3,Mass Water Module Recovery Rate (%)-Stage 1,Mass Water Module Recovery Rate (%)-Stage 2,Mass Water Module Recovery Rate (%)-Stage 3,A-Value (LMH/bar)-Stage 1,A-Value (LMH/bar)-Stage 2,A-Value (LMH/bar)-Stage 3,B-Value (LMH)-Stage 1,B-Value (LMH)-Stage 2,B-Value (LMH)-Stage 3,Average Water Flux (LMH)-Stage 1,Average Water Flux (LMH)-Stage 2,Average Water Flux (LMH)-Stage 3,Average NaCl Flux (GMH)-Stage 1,Average NaCl Flux (GMH)-Stage 2,Average NaCl Flux (GMH)-Stage 3,Inlet Reynolds Number-Stage 1,Inlet Reynolds Number-Stage 2,Inlet Reynolds Number-Stage 3,Outlet Reynolds Number-Stage 1,Outlet Reynolds Number-Stage 2,Outlet Reynolds Number-Stage 3,Inlet Crossflow Velocity-Stage 1,Inlet Crossflow Velocity-Stage 2,Inlet Crossflow Velocity-Stage 3,Outlet Crossflow Velocity-Stage 1,Outlet Crossflow Velocity-Stage 2,Outlet Crossflow Velocity-Stage 3,Primary Pump SEC-Stage 1,Primary Pump SEC-Stage 2,Primary Pump SEC-Stage 3,Primary Pump SEC-Stage 4,Recycle Pump SEC-Stage 1,Recycle Pump SEC-Stage 2,Recycle Pump SEC-Stage 3,Recycle Pump SEC-Stage 4,ERD SEC-Stage 1,ERD SEC-Stage 2,ERD SEC-Stage 3,ERD SEC-Stage 4,Net SEC-Stage 1,Net SEC-Stage 2,Net SEC-Stage 3,Net SEC-Stage 4
5.000000e+00,3.000000e-01,9.063101e-01,2.718930e-01,3.175292e+00,9.525876e-01,4.000000e+00,7.126622e+00,3.792721e+01,2.840184e+04,8.520552e+03,4.375863e+00,-9.465477e-01,3.429316e+00,2.163111e+01,3.003642e+01,9.924523e+01,2.587457e+02,4.210670e-01,4.852431e-01,9.722323e-02,7.651025e-04,2.144341e-02,9.110174e-02,2.105335e-01,2.222705e-01,1.366526e-01,1.263201e-01,5.327930e-01,3.735171e-01,1.268523e+01,1.948917e+01,2.034568e+01,1.758853e+01,8.589559e+01,5.723335e+01,5.645001e+01,3.975993e+01,1.754942e+01,5.417305e+01,6.024007e+01,8.245058e+01,4.582695e+01,2.472076e+01,7.811085e+01,4.119651e+01,2.999944e+01,7.310354e+01,7.716584e+01,3.003642e+01,7.315754e+01,7.721208e+01,1.512000e+00,1.512000e+00,1.512000e+00,1.260000e-01,1.260000e-01,1.260000e-01,1.251042e+01,1.877559e+01,1.903614e+01,4.745035e-01,7.121330e-01,7.220151e-01,1.122475e+02,1.554139e+02,1.831087e+02,7.833982e+01,4.133188e+01,4.133188e+01,1.047962e-01,1.446893e-01,1.703448e-01,7.335797e-02,3.891671e-02,3.889812e-02,1.440985e+00,9.360464e-01,9.278880e-01,7.151700e-01,0.000000e+00,2.565632e-03,1.678087e-02,1.228976e-02,-5.693956e-01,-1.372676e-01,-1.109805e-01,-5.878944e-02,8.715890e-01,8.013445e-01,8.336883e-01,6.686703e-01
5.000000e+00,3.375000e-01,8.862111e-01,2.990962e-01,3.169603e+00,1.069741e+00,4.000000e+00,7.527459e+00,3.872327e+01,2.840184e+04,9.585621e+03,4.823427e+00,-9.723600e-01,3.851067e+00,2.015911e+01,3.379096e+01,9.922938e+01,2.855159e+02,4.079250e-01,4.782860e-01,9.521869e-02,7.907307e-04,1.859554e-02,8.935756e-02,2.039625e-01,2.218722e-01,1.340363e-01,1.223775e-01,5.198451e-01,3.663660e-01,1.333428e+01,1.994832e+01,2.047424e+01,1.782032e+01,9.175612e+01,6.388072e+01,6.361792e+01,3.996785e+01,1.604454e+01,5.737163e+01,6.003215e+01,8.395546e+01,4.262837e+01,2.719650e+01,8.070348e+01,3.787797e+01,3.374934e+01,7.449685e+01,7.749957e+01,3.379096e+01,7.455173e+01,7.754668e+01,1.512000e+00,1.512000e+00,1.512000e+00,1.260000e-01,1.260000e-01,1.260000e-01,1.317529e+01,1.892455e+01,1.900272e+01,5.102102e-01,7.328488e-01,7.358762e-01,1.071103e+02,1.640329e+02,1.858956e+02,7.071039e+01,4.133188e+01,4.133188e+01,1.000001e-01,1.527113e-01,1.729465e-01,6.625076e-02,3.894665e-02,3.891516e-02,1.352102e+00,9.413660e-01,9.300362e-01,7.136987e-01,0.000000e+00,2.547104e-03,1.906261e-02,1.108625e-02,-5.090882e-01,-1.295605e-01,-1.091029e-01,-5.254468e-02,8.430139e-01,8.143526e-01,8.399959e-01,6.722402e-01
5.000000e+00,3.750000e-01,8.712239e-01,3.267090e-01,3.164365e+00,1.186637e+00,4.000000e+00,7.976274e+00,3.956017e+01,2.840184e+04,1.065069e+04,5.262183e+00,-9.902904e-01,4.271893e+00,1.881900e+01,3.754551e+01,9.921273e+01,3.135233e+02,3.978864e-01,4.733375e-01,9.344265e-02,8.258485e-04,1.636400e-02,8.831069e-02,1.989432e-01,2.215055e-01,1.324660e-01,1.193659e-01,5.091500e-01,3.620738e-01,1.393872e+01,2.026266e+01,2.052572e+01,1.796890e+01,9.782409e+01,7.091592e+01,7.104630e+01,3.974921e+01,1.485604e+01,5.982994e+01,6.025079e+01,8.514396e+01,4.017006e+01,2.993874e+01,8.272761e+01,3.537720e+01,3.749923e+01,7.546635e+01,7.767150e+01,3.754551e+01,7.552218e+01,7.771955e+01,1.512000e+00,1.512000e+00,1.512000e+00,1.260000e-01,1.260000e-01,1.260000e-01,1.373115e+01,1.894127e+01,1.890651e+01,5.432281e-01,7.493493e-01,7.479741e-01,1.071103e+02,1.706290e+02,1.873873e+02,6.666641e+01,4.133188e+01,4.133188e+01,1.000000e-01,1.588546e-01,1.743455e-01,6.250087e-02,3.897335e-02,3.893029e-02,1.276589e+00,9.446983e-01,9.304322e-01,7.120455e-01,0.000000e+00,2.830484e-03,2.111876e-02,1.019881e-02,-4.536605e-01,-1.239572e-01,-1.079559e-01,-4.797488e-02,8.229288e-01,8.235716e-01,8.435950e-01,6.742694e-01
5.000000e+00,4.125000e-01,8.603542e-01,3.548961e-01,3.168997e+00,1.307211e+00,4.000000e+00,8.482136e+00,4.059330e+01,2.840184e+04,1.171576e+04,5.727265e+00,-1.021305e+00,4.705960e+00,1.783233e+01,4.130005e+01,9.919217e+01,3.408238e+02,3.904728e-01,4.698814e-01,9.243647e-02,8.363712e-04,1.469041e-02,8.727316e-02,1.952364e-01,2.218298e-01,1.309097e-01,1.171419e-01,5.025342e-01,3.578200e-01,1.462169e+01,2.032845e+01,2.058976e+01,1.820040e+01,1.029755e+02,7.836077e+01,7.847927e+01,3.808526e+01,1.476541e+01,6.027912e+01,6.191474e+01,8.523459e+01,3.972088e+01,3.382381e+01,8.283541e+01,3.489133e+01,4.124910e+01,7.550715e+01,7.769502e+01,4.130005e+01,7.556461e+01,7.774449e+01,1.512000e+00,1.512000e+00,1.512000e+00,1.260000e-01,1.260000e-01,1.260000e-01,1.434866e+01,1.885587e+01,1.882740e+01,5.824831e-01,7.654531e-01,7.642974e-01,1.071103e+02,1.709761e+02,1.876518e+02,6.262258e+01,4.133188e+01,4.133188e+01,1.000000e-01,1.591966e-01,1.746098e-01,5.875100e-02,3.899233e-02,3.894834e-02,1.221858e+00,9.474140e-01,9.332028e-01,7.196865e-01,0.000000e+00,3.298013e-03,2.130672e-02,9.978427e-03,-4.087142e-01,-1.240096e-01,-1.080849e-01,-4.693857e-02,8.131434e-01,8.267025e-01,8.464246e-01,6.827264e-01
5.000000e+00,4.500000e-01,8.519933e-01,3.833970e-01,3.179342e+00,1.430704e+00,4.000000e+00,9.056691e+00,4.179828e+01,2.840184e+04,1.278083e+04,6.197902e+00,-1.047368e+00,5.150535e+00,1.689875e+01,4.505458e+01,9.916819e+01,3.681794e+02,3.844670e-01,4.675263e-01,9.167805e-02,8.480192e-04,1.328592e-02,8.642150e-02,1.922335e-01,2.225540e-01,1.296322e-01,1.153401e-01,4.976651e-01,3.543281e-01,1.528743e+01,2.041587e+01,2.067127e+01,1.846080e+01,1.080295e+02,8.588252e+01,8.600053e+01,3.614621e+01,1.468699e+01,6.083545e+01,6.385379e+01,8.531301e+01,3.916455e+01,3.802618e+01,8.293794e+01,3.430824e+01,4.499896e+01,7.556287e+01,7.772776e+01,4.505458e+01,7.562224e+01,7.777887e+01,1.512000e+00,1.512000e+00,1.512000e+00,1.260000e-01,1.260000e-01,1.260000e-01,1.492077e+01,1.876847e+01,1.874272e+01,6.236885e-01,7.845227e-01,7.834462e-01,1.071103e+02,1.714407e+02,1.880058e+02,5.857895e+01,4.133188e+01,4.133188e+01,1.000000e-01,1.596512e-01,1.749605e-01,5.500116e-02,3.901473e-02,3.896940e-02,1.174830e+00,9.509990e-01,9.366934e-01,7.282785e-01,0.000000e+00,3.793528e-03,2.152707e-02,9.744197e-03,-3.683871e-01,-1.240864e-01,-1.082404e-01,-4.580943e-02,8.064428e-01,8.307061e-01,8.499801e-01,6.922133e-01
5.000000e+00,4.875000e-01,8.457877e-01,4.123215e-01,3.195073e+00,1.557598e+00,4.000000e+00,9.714950e+00,4.320680e+01,2.840184e+04,1.384590e+04,6.676083e+00,-1.068730e+00,5.607353e+00,1.600833e+01,4.880911e+01,9.914016e+01,3.956906e+02,3.796391e-01,4.661487e-01,9.113720e-02,8.609282e-04,1.208684e-02,8.573456e-02,1.898195e-01,2.236551e-01,1.286018e-01,1.138917e-01,4.942760e-01,3.515117e-01,1.593983e+01,2.052731e+01,2.077251e+01,1.875213e+01,1.130446e+02,9.349501e+01,9.362692e+01,3.387833e+01,1.461990e+01,6.150664e+01,6.612167e+01,8.538010e+01,3.849336e+01,4.261732e+01,8.303710e+01,3.362160e+01,4.874879e+01,7.563516e+01,7.777041e+01,4.880911e+01,7.569677e+01,7.782344e+01,1.512000e+00,1.512000e+00,1.512000e+00,1.260000e-01,1.260000e-01,1.260000e-01,1.544706e+01,1.867701e+01,1.865069e+01,6.674470e-01,8.070085e-01,8.058715e-01,1.071103e+02,1.720382e+02,1.884585e+02,5.453556e+01,4.133188e+01,4.133188e+01,1.000000e-01,1.602335e-01,1.754064e-01,5.125135e-02,3.904123e-02,3.899405e-02,1.134023e+00,9.555457e-01,9.410011e-01,7.378670e-01,0.000000e+00,4.316539e-03,2.178750e-02,9.494528e-03,-3.317705e-01,-1.241860e-01,-1.084269e-01,-4.457919e-02,8.022527e-01,8.356762e-01,8.543616e-01,7.027824e-01
5.000000e+00,5.250000e-01,8.415177e-01,4.417968e-01,3.216103e+00,1.688454e+00,4.000000e+00,1.047664e+01,4.485889e+01,2.840184e+04,1.491097e+04,7.163997e+00,-1.085562e+00,6.078434e+00,1.515303e+01,5.256364e+01,9.910728e+01,4.234773e+02,3.758375e-01,4.656802e-01,9.079484e-02,8.753141e-04,1.104742e-02,8.520118e-02,1.879188e-01,2.251272e-01,1.278018e-01,1.127513e-01,4.921929e-01,3.493248e-01,1.658187e+01,2.066638e+01,2.089669e+01,1.907688e+01,1.180856e+02,1.012156e+02,1.013793e+02,3.121340e+01,1.456376e+01,6.230218e+01,6.878660e+01,8.543624e+01,3.769782e+01,4.768756e+01,8.313486e+01,3.282401e+01,5.249858e+01,7.572664e+01,7.782414e+01,5.256364e+01,7.579090e+01,7.787941e+01,1.512000e+00,1.512000e+00,1.512000e+00,1.260000e-01,1.260000e-01,1.260000e-01,1.592514e+01,1.857945e+01,1.854944e+01,7.144163e-01,8.334910e-01,8.321448e-01,1.071103e+02,1.727929e+02,1.890237e+02,5.049245e+01,4.133188e+01,4.133188e+01,1.000000e-01,1.609668e-01,1.759615e-01,4.750156e-02,3.907272e-02,3.902307e-02,1.098316e+00,9.611914e-01,9.462604e-01,7.485136e-01,0.000000e+00,4.866693e-03,2.209842e-02,9.228303e-03,-2.981760e-01,-1.243054e-01,-1.086500e-01,-4.324008e-02,8.001395e-01,8.417527e-01,8.597088e-01,7.145019e-01
5.000000e+00,5.625000e-01,8.390672e-01,4.719753e-01,3.242565e+00,1.823943e+00,4.000000e+00,1.136823e+01,4.680570e+01,2.840184e+04,1.597604e+04,7.664161e+00,-1.097968e+00,6.566193e+00,1.432600e+01,5.631816e+01,9.906853e+01,4.516884e+02,3.729691e-01,4.660982e-01,9.064071e-02,8.915073e-04,1.013372e-02,8.481861e-02,1.864845e-01,2.269795e-01,1.272279e-01,1.118907e-01,4.913109e-01,3.477563e-01,1.721560e+01,2.083823e+01,2.104818e+01,1.943824e+01,1.232302e+02,1.090657e+02,1.092836e+02,2.806363e+01,1.451844e+01,6.323292e+01,7.193637e+01,8.548156e+01,3.676708e+01,5.335257e+01,8.323373e+01,3.190741e+01,5.624834e+01,7.584125e+01,7.789076e+01,5.631816e+01,7.590867e+01,7.794868e+01,1.512000e+00,1.512000e+00,1.512000e+00,1.260000e-01,1.260000e-01,1.260000e-01,1.635031e+01,1.847374e+01,1.843691e+01,7.653237e-01,8.647169e-01,8.629931e-01,1.071103e+02,1.737409e+02,1.897225e+02,4.644970e+01,4.133188e+01,4.133188e+01,1.000001e-01,1.618861e-01,1.766462e-01,4.375182e-02,3.911039e-02,3.905746e-02,1.066821e+00,9.681291e-01,9.526540e-01,7.603036e-01,0.000000e+00,5.443731e-03,2.247425e-02,8.945001e-03,-2.670665e-01,-1.244389e-01,-1.089160e-01,-4.178488e-02,7.997547e-01,8.491339e-01,8.662122e-01,7.274637e-01
5.000000e+00,6.000000e-01,8.384099e-01,5.030460e-01,3.274815e+00,1.964889e+00,4.000000e+00,1.242605e+01,4.911324e+01,2.840184e+04,1.704110e+04,8.179578e+00,-1.105978e+00,7.073600e+00,1.352121e+01,6.007267e+01,9.902261e+01,4.805140e+02,3.709883e-01,4.674216e-01,9.067230e-02,9.100048e-04,9.319797e-03,8.459206e-02,1.854942e-01,2.292370e-01,1.268881e-01,1.112965e-01,4.915825e-01,3.468274e-01,1.784189e+01,2.105010e+01,2.123299e+01,1.984031e+01,1.285769e+02,1.170723e+02,1.173720e+02,2.431435e+01,1.448401e+01,6.431048e+01,7.568565e+01,8.551599e+01,3.568952e+01,5.976222e+01,8.333711e+01,3.086373e+01,5.999803e+01,7.598479e+01,7.797293e+01,6.007267e+01,7.605600e+01,7.803400e+01,1.512000e+00,1.512000e+00,1.512000e+00,1.260000e-01,1.260000e-01,1.260000e-01,1.671509e+01,1.835767e+01,1.831080e+01,8.209726e-01,9.016489e-01,8.993467e-01,1.071104e+02,1.749355e+02,1.905853e+02,4.240742e+01,4.133188e+01,4.133188e+01,1.000002e-01,1.630425e-01,1.774903e-01,4.000215e-02,3.915583e-02,3.909855e-02,1.038805e+00,9.766248e-01,9.604281e-01,7.733562e-01,0.000000e+00,6.047418e-03,2.293554e-02,8.644884e-03,-2.380124e-01,-1.245757e-01,-1.092317e-01,-4.020712e-02,8.007924e-01,8.580965e-01,8.741319e-01,7.417940e-01
5.000000e+00,6.375000e-01,8.396441e-01,5.352731e-01,3.321355e+00,2.117364e+00,4.000000e+00,1.370226e+01,5.138628e+01,2.840184e+04,1.810617e+04,8.731890e+00,-1.109379e+00,7.622510e+00,1.270492e+01,6.382718e+01,9.897737e+01,5.087324e+02,3.697784e-01,4.698657e-01,9.105187e-02,9.634080e-04,8.582367e-03,8.429155e-02,1.848892e-01,2.324949e-01,1.264373e-01,1.109335e-01,4.940487e-01,3.455953e-01,1.862450e+01,2.131525e+01,2.142713e+01,2.025604e+01,1.334311e+02,1.249649e+02,1.254971e+02,2.074522e+01,1.429279e+01,6.525607e+01,7.925478e+01,8.570721e+01,3.474393e+01,6.626031e+01,8.370754e+01,2.996285e+01,6.374768e+01,7.624997e+01,7.807313e+01,6.382718e+01,7.632494e+01,7.813736e+01,1.512000e+00,1.512000e+00,1.512000e+00,1.260000e-01,1.260000e-01,1.260000e-01,1.711368e+01,1.827311e+01,1.819561e+01,8.794534e-01,9.390351e-01,9.350530e-01,1.153918e+02,1.770616e+02,1.916151e+02,4.133190e+01,4.133188e+01,4.133188e+01,1.077318e-01,1.650658e-01,1.784898e-01,3.905540e-02,3.920413e-02,3.914019e-02,1.023166e+00,9.861045e-01,9.684046e-01,7.872334e-01,0.000000e+00,7.736380e-03,2.369210e-02,8.407531e-03,-2.110904e-01,-1.240490e-01,-1.094510e-01,-3.879927e-02,8.120761e-01,8.697919e-01,8.826457e-01,7.568417e-01
