bv,cb,conc_in,c_norm,conc_units,compound,resin,vel_bed,bed_depth,t_breakthru,n,A,k_T,r,BV50
6593.406593,29.77942308,910.9,0.032692308,ng/L,pfba,purolite,0.00615,0.981,1051728.759,2,80.24222294,0.99,9.48603E-07,17394
9615.384615,108.6073077,910.9,0.119230769,ng/L,pfba,purolite,0.00615,0.981,1533771.107,2,31.64798942,0.99,9.48603E-07,17394
17307.7,455.45,910.9,0.5,ng/L,pfba,purolite,0.00615,0.981,2760789.22,2,13.72052441,0.99,9.48603E-07,17394
20329.67033,534.2778846,910.9,0.586538462,ng/L,pfba,purolite,0.00615,0.981,3242830.34,2,15.27908244,0.99,9.48603E-07,17394
24450.54945,611.3540385,910.9,0.671153846,ng/L,pfba,purolite,0.00615,0.981,3900160.815,2,19.81215728,0.99,9.48603E-07,17394
28021.97802,691.9336538,910.9,0.759615385,ng/L,pfba,purolite,0.00615,0.981,4469847.226,2,21.96693374,0.99,9.48603E-07,17394
31593.40659,776.0167308,910.9,0.851923077,ng/L,pfba,purolite,0.00615,0.981,5039533.637,2,20.71280711,0.99,9.48603E-07,17394
39010.98901,860.0998077,910.9,0.944230769,ng/L,pfba,purolite,0.00615,0.981,6222728.491,2,21.6228453,0.99,9.48603E-07,17394
42582.41758,898.6378846,910.9,0.986538462,ng/L,pfba,purolite,0.00615,0.981,6792414.902,2,8.575756666,0.99,9.48603E-07,17394
71153.84615,907.3965385,910.9,0.996153846,ng/L,pfba,purolite,0.00615,0.981,11349906.19,2,183.044011,0.99,9.48603E-07,17394
63461.53846,909.1482692,910.9,0.998076923,ng/L,pfba,purolite,0.00615,0.981,10122889.31,2,28.52266237,0.99,9.48603E-07,17394
