1/n,Bi,B0,B1,B2,B3,B4,C/C0_lower,C/C0_upper
0.05,0.5,-5.447214,6.598598,0.026569,0.019384,20.450470,0.01,0.99
0.05,2,-5.465811,6.592484,0.004989,0.004988,0.503250,0.01,0.99
0.05,4,-5.531155,6.584935,0.023580,0.009019,0.273076,0.02,0.99
0.05,6,-5.606508,6.582188,0.022088,0.013126,0.214246,0.02,0.99
0.05,8,-5.606500,6.504701,0.020872,0.017083,0.189537,0.02,0.99
0.05,10,-5.664173,6.456597,0.018157,0.019935,0.149314,0.02,0.98
0.05,14,-0.662780,1.411252,0.060709,0.020229,0.143293,0.02,0.99
0.05,25,-0.662783,1.350940,0.031070,0.020350,0.129998,0.01,0.99
0.05,100,0.665879,0.711310,2.987309,0.016783,0.361023,0.01,0.99
0.1,0.5,-1.919873,3.055368,0.055488,0.024284,15.311766,0.02,0.99
0.1,2,-2.278950,3.393925,0.046838,0.004751,0.384675,0.02,0.99
0.1,4,-2.337178,3.379926,0.043994,0.008650,0.243412,0.02,0.99
0.1,6,-2.407407,3.374131,0.041322,0.012552,0.196565,0.02,0.99
0.1,8,-2.477819,3.370954,0.038993,0.016275,0.176437,0.02,0.99
0.1,10,-2.566414,3.370950,0.035003,0.019386,0.150788,0.02,0.98
0.1,16,-2.567201,3.306341,0.020940,0.019483,0.136813,0.01,0.98
0.1,30,-2.568618,3.241783,0.009595,0.019610,0.121746,0.01,0.98
0.1,100,-2.568360,3.191482,0.001555,0.019682,0.110113,0.01,0.98
0.2,0.5,-1.441000,2.569000,0.060920,0.002333,0.371100,0.01,0.99
0.2,2,-1.474313,2.558300,0.058480,0.005026,0.241265,0.01,0.99
0.2,4,-1.506696,2.519259,0.055525,0.008797,0.187510,0.01,0.99
0.2,6,-1.035395,1.983018,0.069283,0.012302,0.167924,0.01,0.99
0.2,8,-0.169192,1.077521,0.144879,0.015500,0.168083,0.02,0.99
0.2,10,-1.402932,2.188339,0.052191,0.018422,0.133574,0.01,0.98
0.2,13,-1.369220,2.118545,0.039492,0.018453,0.127565,0.01,0.98
0.2,25,-1.514159,2.209450,0.017937,0.018510,0.118517,0.01,0.99
0.2,100,0.680346,0.649006,2.570086,0.014947,0.369818,0.01,0.99
0.3,0.5,-1.758696,2.846576,0.049530,0.003022,0.156816,0.01,0.99
0.3,2,-1.657862,2.688895,0.048409,0.005612,0.140937,0.01,0.99
0.3,4,-0.565664,1.537833,0.084451,0.008808,0.199086,0.01,0.99
