Parameter,Units,OCWD,Serrano Water District,Anaheim,Fullerton F-3A/1,Fullerton F-5/1,Santa Ana,Tustin,Orange,Garden Grove,IRWD,EOCWD,OCWD-2
pH,s.u.,7.25,8.34,7.49,7.73,7.55,7.74,7.77,7.71,7.79,7.72,7.74,7.91
"Alkalinity, total as CaCO3",kg/m3,0.247,0.198,0.206,0.132,0.124,0.14,0.134,0.179,0.187,0.21,0.178,0.202
"Calcium, total",kg/m3,0.0691,0.088,0.111,0.0648,0.0562,0.0356,0.0421,0.104,0.105,0.127,0.0939,0.0813
"Magnesium, total",kg/m3,0.0181,0.0241,0.0188,0.0117,0.0106,0.00712,0.00569,0.0188,0.0177,0.0323,0.021,0.0198
"Hardness, total as CaCO3",kg/m3,0.247,0.319,0.355,0.21,0.184,0.118,0.129,0.337,0.335,0.45,0.321,0.285
"Iron, total",kg/m3,0.00525,0.000242,0.0000726,0.0000977,0.000141,0.000151,0.000139,0.000108,0.000143,0.0000916,0.0000722,0.000121
"Manganese, total",kg/m3,0.000264,0.00000361,0,0.00000331,0.0000041,0.00000568,0,0,0,0,0,0.00024
PFOA (bulk),kg/m3,1.33E-08,0.000000066,2.78E-08,2.54E-08,7.61E-09,8.86E-09,1.02E-08,0.000000022,2.16E-08,0.000000014,2.24E-08,1.34E-08
PFOA (postfilter),kg/m3,1.49E-08,0.000000022,1.85E-08,2.04E-08,1.17E-08,6.59E-09,7.54E-09,1.79E-08,1.92E-08,1.65E-08,2.12E-08,1.36E-08
PFOS (bulk),kg/m3,1.87E-08,5.03E-08,4.58E-08,3.79E-08,1.35E-08,1.17E-08,1.54E-08,4.09E-08,5.12E-08,1.89E-08,2.51E-08,2.05E-08
PFOS (postfilter),kg/m3,2.11E-08,3.06E-08,4.62E-08,6.02E-09,8.85E-09,1.51E-09,2.11E-09,4.37E-09,8.85E-09,2.83E-08,2.39E-08,0.000000025
PFBS (bulk),kg/m3,1.43E-08,0.000000012,0.00000001,4.05E-09,3.59E-09,4.37E-09,2.95E-09,8.56E-09,8.08E-09,7.35E-09,1.15E-08,1.27E-08
PFBS (postfilter),kg/m3,1.56E-08,1.23E-08,9.47E-09,3.88E-09,3.89E-09,4.33E-09,2.93E-09,8.55E-09,7.98E-09,8.43E-09,0.00000001,1.25E-08
PFHxA (bulk),kg/m3,1.47E-09,2.16E-08,4.98E-09,6.86E-09,6.08E-09,6.09E-09,5.76E-09,1.17E-08,1.04E-08,7.4E-09,1.89E-08,2.09E-09
PFHxA (postfilter),kg/m3,1.42E-09,2.05E-08,4.66E-09,6.26E-09,6.07E-09,6.04E-09,5.24E-09,1.19E-08,1.01E-08,8.65E-09,1.79E-08,2.07E-09
PFHxS (bulk),kg/m3,9.88E-09,1.19E-08,1.65E-08,1.07E-08,6.44E-09,5.64E-09,8.49E-09,1.93E-08,2.65E-08,1.05E-08,1.47E-08,9.05E-09
PFHxS (postfilter),kg/m3,1.28E-08,1.13E-08,1.49E-08,9.6E-09,6.44E-09,4.45E-09,7.34E-09,1.72E-08,2.39E-08,1.23E-08,1.35E-08,9.01E-09
PFHpA (bulk),kg/m3,9.4E-10,9.08E-09,3.19E-09,3.24E-09,2.57E-09,2.86E-09,2.66E-09,5.28E-09,4.98E-09,3.86E-09,8.05E-09,1.1E-09
PFHpA (postfilter),kg/m3,1.02E-09,8.57E-09,2.81E-09,3.17E-09,2.55E-09,2.61E-09,2.58E-09,5.1E-09,4.72E-09,4.84E-09,7.8E-09,1.19E-09
PFNA (bulk),kg/m3,2.44E-09,4.33E-09,3.19E-09,1.68E-09,1.25E-09,1.31E-09,7E-10,2.25E-09,1.46E-09,1.4E-09,2.85E-09,2.36E-09
PFNA (postfilter),kg/m3,2.83E-09,3.8E-09,3.09E-09,5.3E-10,4E-10,2.9E-10,2.2E-10,5.7E-10,5.2E-10,2.04E-09,2.05E-09,2.2E-09
PFDA (bulk),kg/m3,2.56E-09,1.38E-09,9.2E-10,5.1E-10,1.2E-10,4.9E-10,3.3E-10,3E-10,3.4E-10,2E-10,5.1E-10,3.04E-09
PFDA (postfilter),kg/m3,2.35E-09,1.22E-09,9.1E-10,3.6E-10,3.5E-10,3.3E-10,3.5E-10,3.4E-10,3.2E-10,3.1E-10,1.6E-10,6.7E-10
TOC (bulk),kg/m3,0.00162,0.00233,0.00178,0.000563,0.0006,0.000541,0.000485,0.000344,0.000393,0.000433,0.000529,0.00129
DOC (postfilter TOC),kg/m3,0.0016,0.000915,0.000853,0.000517,0.00144,0.000497,0.000369,0.000246,0.000212,0.000467,0.000521,0.00127
UVM at 254 nm,abs/cm,0.03,0.007,0.008,0.006,0.005,0.014,0.007,0.013,0.011,0.006,0.007,0.029
Specific UVA,L/mg-m,1.88,0.765,0.938,1.16,0.347,2.82,1.9,5.28,5.19,1.28,1.34,2.28
