1/n,Bi_min,Bi_max,% within constant pattern,A0,A1
0.05,0.5,10,0,2.11E-02,1.98947
0.1,0.5,10,0,2.11E-02,2.18947
0.2,0.5,10,0,4.21E-02,2.37895
0.3,0.5,10,0,1.05E-01,2.54737
0.4,0.5,10,0,2.32E-01,2.68421
0.5,0.5,10,0,5.26E-01,2.73684
0.6,0.5,10,0,1.16E+00,3.42105
0.7,0.5,10,0,1.79E+00,7.10526
0.8,0.5,10,0,3.68E+00,13.1579
0.9,0.5,10,0,6.32E+00,56.8421
0.05,10,,0,0.22,0
0.1,10,,0,0.24,0
0.2,10,,0,0.28,0
0.3,10,,0,0.36,0
0.4,10,,0,0.5,0
0.5,10,,0,0.8,0
0.6,10,,0,1.5,0
0.7,10,,0,2.5,0
0.8,10,,0,5,0
0.9,10,,0,12,0
0.05,0.5,10,0.1,1.05E-02,1.39474
0.1,0.5,10,0.1,3.16E-02,1.38421
0.2,0.5,10,0.1,6.32E-02,1.36842
0.3,0.5,10,0.1,9.47E-02,1.35263
0.4,0.5,10,0.1,1.68E-01,1.41579
0.5,0.5,10,0.1,2.79E-01,1.46053
0.6,0.5,10,0.1,4.53E-01,1.97368
0.7,0.5,10,0.1,6.84E-01,3.65789
0.8,0.5,10,0.1,1.21E+00,5.89474
0.9,0.5,10,0.1,2.84E+00,15.5789
0.05,10,,0.1,1.28E+01,0.22
0.1,10,,0.1,1.37E-01,0.33
0.2,10,,0.1,1.63E-01,0.38
0.3,10,,0.1,1.80E-01,0.5
0.4,10,,0.1,2.48E-01,0.63
0.5,10,,0.1,3.44E-01,0.81
0.6,10,,0.1,5.06E-01,1.4
0.7,10,,0.1,7.72E-01,2.8
0.8,10,,0.1,1.36E+00,4.4
0.9,10,,0.1,3.12E+00,12.8
