curve,ref,compound,resin,bv,cb,c_norm,c0,ebct,flow_in,bed_depth,bed_diam,bed_vol,vel_bed,conc_units,notes,original_file
1,woodward_2017,pfoa,ect_sorbix_a3f,0.0,0.005325794,0.000467175,11.4,2.5,0.000227125,0.9,0.22,0.0339802,0.006,ug/L,bed diameter and depth estimated from picture and similar products and bed volume,pfas_all_kurby
1,woodward_2017,pfoa,ect_sorbix_a3f,3820.224719,0.008935936,0.000783854,11.4,2.5,0.000227125,0.9,0.22,0.0339802,0.006,ug/L,bed diameter and depth estimated from picture and similar products and bed volume,pfas_all_kurby
1,woodward_2017,pfoa,ect_sorbix_a3f,4887.640449,0.016040272,0.001407041,11.4,2.5,0.000227125,0.9,0.22,0.0339802,0.006,ug/L,bed diameter and depth estimated from picture and similar products and bed volume,pfas_all_kurby
1,woodward_2017,pfoa,ect_sorbix_a3f,6516.853933,0.048310228,0.004237739,11.4,2.5,0.000227125,0.9,0.22,0.0339802,0.006,ug/L,bed diameter and depth estimated from picture and similar products and bed volume,pfas_all_kurby
1,woodward_2017,pfoa,ect_sorbix_a3f,7752.808989,0.092774091,0.008138078,11.4,2.5,0.000227125,0.9,0.22,0.0339802,0.006,ug/L,bed diameter and depth estimated from picture and similar products and bed volume,pfas_all_kurby
1,woodward_2017,pfoa,ect_sorbix_a3f,9943.820225,0.34992417,0.030695103,11.4,2.5,0.000227125,0.9,0.22,0.0339802,0.006,ug/L,bed diameter and depth estimated from picture and similar products and bed volume,pfas_all_kurby
1,woodward_2017,pfoa,ect_sorbix_a3f,12191.01124,0.735274512,0.064497764,11.4,2.5,0.000227125,0.9,0.22,0.0339802,0.006,ug/L,bed diameter and depth estimated from picture and similar products and bed volume,pfas_all_kurby
1,woodward_2017,pfoa,ect_sorbix_a3f,13820.22472,1.077887139,0.094551503,11.4,2.5,0.000227125,0.9,0.22,0.0339802,0.006,ug/L,bed diameter and depth estimated from picture and similar products and bed volume,pfas_all_kurby
1,woodward_2017,pfoa,ect_sorbix_a3f,15449.4382,1.580145463,0.138609251,11.4,2.5,0.000227125,0.9,0.22,0.0339802,0.006,ug/L,bed diameter and depth estimated from picture and similar products and bed volume,pfas_all_kurby
1,woodward_2017,pfoa,ect_sorbix_a3f,17584.26966,2.117058696,0.185706903,11.4,2.5,0.000227125,0.9,0.22,0.0339802,0.006,ug/L,bed diameter and depth estimated from picture and similar products and bed volume,pfas_all_kurby
1,woodward_2017,pfoa,ect_sorbix_a3f,18988.76404,2.59227327,0.227392392,11.4,2.5,0.000227125,0.9,0.22,0.0339802,0.006,ug/L,bed diameter and depth estimated from picture and similar products and bed volume,pfas_all_kurby
1,woodward_2017,pfoa,ect_sorbix_a3f,20280.89888,3.886659968,0.340935085,11.4,2.5,0.000227125,0.9,0.22,0.0339802,0.006,ug/L,bed diameter and depth estimated from picture and similar products and bed volume,pfas_all_kurby
1,woodward_2017,pfoa,ect_sorbix_a3f,23764.04494,4.549675854,0.399094373,11.4,2.5,0.000227125,0.9,0.22,0.0339802,0.006,ug/L,bed diameter and depth estimated from picture and similar products and bed volume,pfas_all_kurby
1,woodward_2017,pfoa,ect_sorbix_a3f,24775.2809,5.091437194,0.446617298,11.4,2.5,0.000227125,0.9,0.22,0.0339802,0.006,ug/L,bed diameter and depth estimated from picture and similar products and bed volume,pfas_all_kurby
1,woodward_2017,pfoa,ect_sorbix_a3f,27078.65169,5.827366228,0.511172476,11.4,2.5,0.000227125,0.9,0.22,0.0339802,0.006,ug/L,bed diameter and depth estimated from picture and similar products and bed volume,pfas_all_kurby
1,woodward_2017,pfoa,ect_sorbix_a3f,31741.57303,5.827366228,0.511172476,11.4,2.5,0.000227125,0.9,0.22,0.0339802,0.006,ug/L,bed diameter and depth estimated from picture and similar products and bed volume,pfas_all_kurby
1,woodward_2017,pfoa,ect_sorbix_a3f,34325.8427,5.697709801,0.499799105,11.4,2.5,0.000227125,0.9,0.22,0.0339802,0.006,ug/L,bed diameter and depth estimated from picture and similar products and bed volume,pfas_all_kurby
1,woodward_2017,pfoa,ect_sorbix_a3f,35898.8764,5.325794009,0.467174913,11.4,2.5,0.000227125,0.9,0.22,0.0339802,0.006,ug/L,bed diameter and depth estimated from picture and similar products and bed volume,pfas_all_kurby
1,woodward_2017,pfoa,ect_sorbix_a3f,38595.50562,6.521270989,0.572041315,11.4,2.5,0.000227125,0.9,0.22,0.0339802,0.006,ug/L,bed diameter and depth estimated from picture and similar products and bed volume,pfas_all_kurby
1,woodward_2017,pfoa,ect_sorbix_a3f,41404.49438,4.549675854,0.399094373,11.4,2.5,0.000227125,0.9,0.22,0.0339802,0.006,ug/L,bed diameter and depth estimated from picture and similar products and bed volume,pfas_all_kurby
1,woodward_2017,pfoa,ect_sorbix_a3f,42696.62921,5.207297352,0.456780469,11.4,2.5,0.000227125,0.9,0.22,0.0339802,0.006,ug/L,bed diameter and depth estimated from picture and similar products and bed volume,pfas_all_kurby
1,woodward_2017,pfoa,ect_sorbix_a3f,44606.74157,5.827366228,0.511172476,11.4,2.5,0.000227125,0.9,0.22,0.0339802,0.006,ug/L,bed diameter and depth estimated from picture and similar products and bed volume,pfas_all_kurby
1,woodward_2017,pfoa,ect_sorbix_a3f,46123.59551,5.959973101,0.522804658,11.4,2.5,0.000227125,0.9,0.22,0.0339802,0.006,ug/L,bed diameter and depth estimated from picture and similar products and bed volume,pfas_all_kurby
2,woodward_2017,pfhxa,ect_sorbix_a3f,0.0,0.019002375,0.002483971,7.65,2.5,0.000227125,0.9,0.22,0.0339802,0.006,ug/L,bed diameter and depth estimated from picture and similar products and bed volume,pfas_all_kurby
2,woodward_2017,pfhxa,ect_sorbix_a3f,761.4678899,0.002375297,0.000310496,7.65,2.5,0.000227125,0.9,0.22,0.0339802,0.006,ug/L,bed diameter and depth estimated from picture and similar products and bed volume,pfas_all_kurby
2,woodward_2017,pfhxa,ect_sorbix_a3f,1889.908257,0.002375297,0.000310496,7.65,2.5,0.000227125,0.9,0.22,0.0339802,0.006,ug/L,bed diameter and depth estimated from picture and similar products and bed volume,pfas_all_kurby
2,woodward_2017,pfhxa,ect_sorbix_a3f,2467.889908,0.002375297,0.000310496,7.65,2.5,0.000227125,0.9,0.22,0.0339802,0.006,ug/L,bed diameter and depth estimated from picture and similar products and bed volume,pfas_all_kurby
2,woodward_2017,pfhxa,ect_sorbix_a3f,3293.577982,0.002375297,0.000310496,7.65,2.5,0.000227125,0.9,0.22,0.0339802,0.006,ug/L,bed diameter and depth estimated from picture and similar products and bed volume,pfas_all_kurby
2,woodward_2017,pfhxa,ect_sorbix_a3f,3844.036697,0.002375297,0.000310496,7.65,2.5,0.000227125,0.9,0.22,0.0339802,0.006,ug/L,bed diameter and depth estimated from picture and similar products and bed volume,pfas_all_kurby
2,woodward_2017,pfhxa,ect_sorbix_a3f,4972.477064,0.002375297,0.000310496,7.65,2.5,0.000227125,0.9,0.22,0.0339802,0.006,ug/L,bed diameter and depth estimated from picture and similar products and bed volume,pfas_all_kurby
2,woodward_2017,pfhxa,ect_sorbix_a3f,6100.917431,0.052256532,0.006830919,7.65,2.5,0.000227125,0.9,0.22,0.0339802,0.006,ug/L,bed diameter and depth estimated from picture and similar products and bed volume,pfas_all_kurby
