,Units,Feed,R1,R2,R3,R4,R5,from metab,Influent
Volumetric Flowrate,meter ** 3 / second,0.21349537037037034,1.0674800585619473,1.0674800585619473,1.0674800585619473,1.0674800585619473,1.0674800585619473,0.00011134460420138887,0.00011134500221723699
Molar Alkalinity,mole / meter ** 3,7.0,4.950886806482593,5.10291364507646,4.697755669185907,4.314964848627166,4.153716893832575,-,46.66812232115011
Mass Concentration S_I,kilogram / meter ** 3,0.03,0.030000000000000037,0.030000000000000037,0.030000000000000037,0.030000000000000037,0.030000000000000037,0.08631200270999999,0.08631200271544863
Mass Concentration S_S,kilogram / meter ** 3,0.0695,0.0028187397317368883,0.0014651495844295247,0.0011535040758493525,0.0009984536550624132,0.000893034664205661,-,0.039661279373018436
Mass Concentration X_I,kilogram / meter ** 3,0.0512,1.1489184346738273,1.1489184346738273,1.1489184346738273,1.1489184346738273,1.1489184346738273,0.11152474009999998,0.11152474009541244
Mass Concentration X_S,kilogram / meter ** 3,0.20232,0.08237012508606113,0.0766802186094164,0.06508953814304567,0.05587775737850406,0.04951355407592327,-,0.7491143405426133
Mass Concentration X_BH,kilogram / meter ** 3,0.02817,2.5513272119409707,2.552910358992716,2.5566986158183314,2.55878488340868,2.558929897060614,-,1.3980601695611864e-10
Mass Concentration X_BA,kilogram / meter ** 3,0.0,0.14787927928506878,0.14779925720409717,0.1484311610268106,0.14901990470803955,0.14928304343078885,-,1.3980601695611864e-10
Mass Concentration X_P,kilogram / meter ** 3,0.0,0.44868119466151707,0.44935191850206857,0.4502473439491194,0.45114352709804745,0.4520397757605207,-,1.3980601695611864e-10
Mass Concentration S_O,kilogram / meter ** 3,0.0,3.9210854238716365e-06,5.754034987968162e-08,0.0017164989005501283,0.0024152104920226827,0.000449,-,1.3980601695611864e-10
Mass Concentration S_NO,kilogram / meter ** 3,0.0,0.005150166655332046,0.00344858676520461,0.006324771855745178,0.009092457045682442,0.01014762101296999,-,1.3980601695611864e-10
Mass Concentration S_NH,kilogram / meter ** 3,0.03156,0.008022581917950453,0.008449377768984355,0.005653351194799315,0.0030619648947809723,0.0018596574940456408,-,0.20577839675789378
Mass Concentration S_ND,kilogram / meter ** 3,0.0069500000000000004,0.0012159294478645175,0.0008802098053348373,0.0008296609627718262,0.0007682656930868948,0.0006881340546130994,-,0.005252493325433208
Mass Concentration X_ND,kilogram / meter ** 3,0.01059,0.005300685867741403,0.005048686863765958,0.004408060302990644,0.003891267579872477,0.0035413721150325014,-,0.058108176307729464
Temperature,kelvin,298.15,298.15,298.15,298.15,298.15,298.15,308.15,308.14999999601935
Pressure,pascal,101325.0,101324.99949999999,101324.99949999999,101324.99949999999,101324.99949999999,101324.99949999999,101325.0,101325.0
Molar anions,mole / meter ** 3,-,-,-,-,-,-,19.999999999999996,-
Molar cations,mole / meter ** 3,-,-,-,-,-,-,39.99999999999999,-
Mass Concentration S_su,kilogram / meter ** 3,-,-,-,-,-,-,0.0007310841819999999,-
Mass Concentration S_aa,kilogram / meter ** 3,-,-,-,-,-,-,0.0007527869909999999,-
Mass Concentration S_fa,kilogram / meter ** 3,-,-,-,-,-,-,0.020490540819999997,-
Mass Concentration S_va,kilogram / meter ** 3,-,-,-,-,-,-,0.0012545850859999998,-
Mass Concentration S_bu,kilogram / meter ** 3,-,-,-,-,-,-,0.0015905965139999998,-
Mass Concentration S_pro,kilogram / meter ** 3,-,-,-,-,-,-,0.0017665048459999996,-
Mass Concentration S_ac,kilogram / meter ** 3,-,-,-,-,-,-,0.013075180909999998,-
Mass Concentration S_h2,kilogram / meter ** 3,-,-,-,-,-,-,9.049999999999998e-09,-
Mass Concentration S_ch4,kilogram / meter ** 3,-,-,-,-,-,-,0.041519088739999994,-
Mass Concentration S_IC,kilogram / meter ** 3,-,-,-,-,-,-,0.5600174632999999,-
Mass Concentration S_IN,kilogram / meter ** 3,-,-,-,-,-,-,0.20577839679999996,-
Mass Concentration X_c,kilogram / meter ** 3,-,-,-,-,-,-,0.04023858693999999,-
Mass Concentration X_ch,kilogram / meter ** 3,-,-,-,-,-,-,0.0007562946769999998,-
Mass Concentration X_pr,kilogram / meter ** 3,-,-,-,-,-,-,0.0009888532949999997,-
Mass Concentration X_li,kilogram / meter ** 3,-,-,-,-,-,-,0.0009018833989999998,-
Mass Concentration X_su,kilogram / meter ** 3,-,-,-,-,-,-,0.3776205403999999,-
Mass Concentration X_aa,kilogram / meter ** 3,-,-,-,-,-,-,0.09569618969999999,-
Mass Concentration X_fa,kilogram / meter ** 3,-,-,-,-,-,-,0.010445720949999997,-
Mass Concentration X_c4,kilogram / meter ** 3,-,-,-,-,-,-,0.07973830839999997,-
Mass Concentration X_pro,kilogram / meter ** 3,-,-,-,-,-,-,0.04071108673999999,-
Mass Concentration X_ac,kilogram / meter ** 3,-,-,-,-,-,-,0.017547406509999995,-
Mass Concentration X_h2,kilogram / meter ** 3,-,-,-,-,-,-,0.08446946978999999,-
