Comp,R2,RMSE
S_su,0.9999995712642091,0.0019041696866005046
S_aa,0.9999993513188298,0.0011055579033206777
S_fa,0.9999995278696008,0.007787287145601142
S_va,0.999999085595554,0.0025501563244446244
S_bu,0.9999977052258839,0.005604465010192428
S_pro,0.9999999105059814,0.0012665764838757235
S_ac,0.9999992496136992,0.008084756292153177
S_h2,0.9999999740633578,3.4913255480625317e-09
S_ch4,0.9995494967350704,0.08604317980714032
S_IC,0.9961668504534889,1.0053509353402847
S_IN,0.999998681007865,0.00795175378682401
S_I,0.9999998783747944,0.004778665242190732
X_c,0.9999998846578357,0.005007534282520175
X_ch,0.999999386421046,0.0024563271121001867
X_pr,0.9999993956374386,0.003996613798271394
X_li,0.9999993709252591,0.0021407914564383493
X_su,0.9999909957315419,0.11252143901960436
X_aa,0.9994580291494732,0.15446331423059184
X_fa,0.9999578780265157,0.004899449179929489
X_c4,0.9999999999725458,4.2895249820468174e-05
X_pro,0.9999999993352043,8.197641354313293e-05
X_ac,0.9999998668433087,0.01981724242727871
X_h2,0.9999999985782118,0.00012103680338978673
X_I,0.9999999888097314,0.0012511806389759379
VolumetricFlowrate,0.9999998950715497,0.00046420612019466617
