Comp,R2,RMSE
S_su,0.9944309058130113,0.017714465578784713
S_aa,0.8427739102719407,0.09682235521157248
S_fa,0.8306745002356606,0.09587611471209706
S_va,0.9121407375530051,0.07310405904910326
S_bu,0.890397220397771,0.08183376818743661
S_pro,0.8923462071101452,0.07831099137660585
S_ac,0.8459383244359646,0.09622253741740457
S_h2,0.5923985754185994,0.15241365472568216
S_ch4,0.9999999874763774,2.4254594091396e-05
S_IC,0.9999999944372744,2.2809590770717175e-05
S_IN,0.9999999952072128,1.9228125883983704e-05
S_I,0.9999999958051935,1.8141762877633807e-05
X_c,0.9999818679727983,0.0011689901975899183
X_ch,0.9991194071019889,0.0071270677965212395
X_pr,0.9990979054524969,0.007209247372828178
X_li,0.9991599682381788,0.006970292019293895
X_su,0.9999999968128986,1.777396139112524e-05
X_aa,0.9999999883796411,3.480838422250065e-05
X_fa,0.9999999935495876,2.4251793077639045e-05
X_c4,0.9659272442692093,0.05034773719077161
X_pro,0.9999999392386125,6.863550034139968e-05
X_ac,0.9999684858673341,0.0015835515240812995
X_h2,0.9925167154479091,0.018465234976060504
X_I,0.9999999885955195,2.953643041315544e-05
VolumetricFlowrate,0.9999999994573254,7.0529462159873205e-06
