t,F_t
0.479157,0.00637025
0.554257105,0.030687681
0.629299925,0.06693464
0.700891348,0.116039632
0.754166022,0.158609828
0.802413973,0.204141838
0.855702968,0.275354654
0.921308151,0.347519481
0.966691872,0.394814475
1.00195054,0.4318489
1.036407225,0.472820657
1.090627094,0.533972709
1.146808962,0.592527297
1.201931064,0.636707685
1.269455281,0.702008627
1.32254378,0.748621934
1.351114472,0.765781649
1.404231613,0.795423293
1.507730556,0.850287366
1.624132854,0.895278728
1.692573625,0.919948756
1.77291527,0.938518858
1.862307882,0.959463112
1.962870989,0.973026339
2.06833193,0.979784446
2.173835834,0.988446576
2.289880103,0.993347672
2.380504334,0.992524946
2.498696775,0.991361377
