t,F_t
0.467256125,0.024728794
0.548815068,0.053818037
0.620105747,0.088031687
0.694074481,0.132306101
0.767584939,0.179847913
0.821475422,0.22991667
0.89299524,0.276917833
0.944637303,0.326316656
0.99310007,0.36047154
1.070162173,0.422411057
1.12597169,0.467849042
1.183299249,0.504871714
1.223083401,0.54398646
1.269798988,0.573769143
1.315540738,0.604409812
1.364834132,0.637177815
1.429651652,0.668652962
1.47474895,0.698529671
1.522037384,0.718756978
1.570815217,0.745131225
1.617888834,0.771117615
1.666065178,0.791391935
1.718724043,0.8156506
1.772113286,0.833162912
1.813501406,0.843693805
1.855963613,0.852308922
1.925593039,0.873476488
1.995107896,0.89161172
2.057046865,0.906855659
2.13801864,0.921065313
2.192066656,0.932489451
2.246802087,0.937837171
2.289736892,0.942996838
2.337111252,0.949249556
2.389984934,0.955925391
2.463366501,0.965280961
2.528484765,0.971204588
2.593216358,0.980889249
