# steam_cost,electricity_cost,LCOW,SEC
0.000000e+00,0.000000e+00,1.070153e+00,5.859627e+00
0.000000e+00,2.631579e-02,1.127112e+00,5.859627e+00
0.000000e+00,5.263158e-02,1.184072e+00,5.859627e+00
0.000000e+00,7.894737e-02,1.241031e+00,5.859627e+00
0.000000e+00,1.052632e-01,1.297990e+00,5.859627e+00
0.000000e+00,1.315789e-01,1.354949e+00,5.859627e+00
0.000000e+00,1.578947e-01,1.411908e+00,5.859627e+00
0.000000e+00,1.842105e-01,1.468867e+00,5.859627e+00
0.000000e+00,2.105263e-01,1.525827e+00,5.859627e+00
0.000000e+00,2.368421e-01,1.582786e+00,5.859627e+00
0.000000e+00,2.631579e-01,1.639745e+00,5.859627e+00
0.000000e+00,2.894737e-01,1.696704e+00,5.859627e+00
0.000000e+00,3.157895e-01,1.753663e+00,5.859627e+00
0.000000e+00,3.421053e-01,1.810622e+00,5.859627e+00
0.000000e+00,3.684211e-01,1.867582e+00,5.859627e+00
0.000000e+00,3.947368e-01,1.924541e+00,5.859627e+00
0.000000e+00,4.210526e-01,1.981500e+00,5.859627e+00
0.000000e+00,4.473684e-01,2.038459e+00,5.859627e+00
0.000000e+00,4.736842e-01,2.095418e+00,5.859627e+00
0.000000e+00,5.000000e-01,2.152378e+00,5.859627e+00
4.210526e-04,0.000000e+00,1.241960e+00,5.859627e+00
4.210526e-04,2.631579e-02,1.298920e+00,5.859627e+00
4.210526e-04,5.263158e-02,1.355879e+00,5.859627e+00
4.210526e-04,7.894737e-02,1.412838e+00,5.859627e+00
4.210526e-04,1.052632e-01,1.469797e+00,5.859627e+00
4.210526e-04,1.315789e-01,1.526756e+00,5.859627e+00
4.210526e-04,1.578947e-01,1.583715e+00,5.859627e+00
4.210526e-04,1.842105e-01,1.640675e+00,5.859627e+00
4.210526e-04,2.105263e-01,1.697634e+00,5.859627e+00
4.210526e-04,2.368421e-01,1.754593e+00,5.859627e+00
4.210526e-04,2.631579e-01,1.811552e+00,5.859627e+00
4.210526e-04,2.894737e-01,1.868511e+00,5.859627e+00
4.210526e-04,3.157895e-01,1.925471e+00,5.859627e+00
4.210526e-04,3.421053e-01,1.982430e+00,5.859627e+00
4.210526e-04,3.684211e-01,2.039389e+00,5.859627e+00
4.210526e-04,3.947368e-01,2.096348e+00,5.859627e+00
4.210526e-04,4.210526e-01,2.153307e+00,5.859627e+00
4.210526e-04,4.473684e-01,2.210266e+00,5.859627e+00
4.210526e-04,4.736842e-01,2.267226e+00,5.859627e+00
4.210526e-04,5.000000e-01,2.324185e+00,5.859627e+00
8.421053e-04,0.000000e+00,1.404996e+00,5.859627e+00
8.421053e-04,2.631579e-02,1.461955e+00,5.859627e+00
8.421053e-04,5.263158e-02,1.518915e+00,5.859627e+00
8.421053e-04,7.894737e-02,1.575874e+00,5.859627e+00
8.421053e-04,1.052632e-01,1.632833e+00,5.859627e+00
8.421053e-04,1.315789e-01,1.689792e+00,5.859627e+00
8.421053e-04,1.578947e-01,1.746751e+00,5.859627e+00
8.421053e-04,1.842105e-01,1.803710e+00,5.859627e+00
8.421053e-04,2.105263e-01,1.860670e+00,5.859627e+00
8.421053e-04,2.368421e-01,1.917629e+00,5.859627e+00
8.421053e-04,2.631579e-01,1.974588e+00,5.859627e+00
8.421053e-04,2.894737e-01,2.031547e+00,5.859626e+00
8.421053e-04,3.157895e-01,2.088506e+00,5.859627e+00
8.421053e-04,3.421053e-01,2.145465e+00,5.859627e+00
8.421053e-04,3.684211e-01,2.202425e+00,5.859627e+00
8.421053e-04,3.947368e-01,2.259384e+00,5.859627e+00
8.421053e-04,4.210526e-01,2.316343e+00,5.859627e+00
8.421053e-04,4.473684e-01,2.373302e+00,5.859627e+00
8.421053e-04,4.736842e-01,2.430261e+00,5.859627e+00
8.421053e-04,5.000000e-01,2.487220e+00,5.859626e+00
1.263158e-03,0.000000e+00,1.566035e+00,5.859627e+00
1.263158e-03,2.631579e-02,1.622995e+00,5.859627e+00
1.263158e-03,5.263158e-02,1.679954e+00,5.859627e+00
1.263158e-03,7.894737e-02,1.736913e+00,5.859627e+00
1.263158e-03,1.052632e-01,1.793872e+00,5.859627e+00
1.263158e-03,1.315789e-01,1.850831e+00,5.859627e+00
1.263158e-03,1.578947e-01,1.907790e+00,5.859627e+00
1.263158e-03,1.842105e-01,1.964750e+00,5.859627e+00
1.263158e-03,2.105263e-01,2.021709e+00,5.859627e+00
1.263158e-03,2.368421e-01,2.078668e+00,5.859627e+00
