# steam_cost,electricity_cost,LCOW,SEC
0.000000e+00,0.000000e+00,nan,nan
0.000000e+00,2.631579e-02,1.315910e+00,3.380462e+00
0.000000e+00,5.263158e-02,1.372869e+00,3.380364e+00
0.000000e+00,7.894737e-02,nan,nan
0.000000e+00,1.052632e-01,1.486787e+00,3.380364e+00
0.000000e+00,1.315789e-01,nan,nan
0.000000e+00,1.578947e-01,nan,nan
0.000000e+00,1.842105e-01,1.657665e+00,3.381388e+00
0.000000e+00,2.105263e-01,1.714624e+00,3.381388e+00
0.000000e+00,2.368421e-01,1.771583e+00,3.381388e+00
0.000000e+00,2.631579e-01,1.828542e+00,3.381388e+00
0.000000e+00,2.894737e-01,1.885501e+00,3.381388e+00
0.000000e+00,3.157895e-01,1.942460e+00,3.381388e+00
0.000000e+00,3.421053e-01,1.999420e+00,3.381388e+00
0.000000e+00,3.684211e-01,2.056379e+00,3.381388e+00
0.000000e+00,3.947368e-01,2.113338e+00,3.381388e+00
0.000000e+00,4.210526e-01,2.170297e+00,3.381388e+00
0.000000e+00,4.473684e-01,2.227256e+00,3.381388e+00
0.000000e+00,4.736842e-01,2.284216e+00,3.381388e+00
0.000000e+00,5.000000e-01,2.341175e+00,3.381388e+00
4.210526e-04,0.000000e+00,1.370790e+00,3.381388e+00
4.210526e-04,2.631579e-02,1.427749e+00,3.381388e+00
4.210526e-04,5.263158e-02,1.484709e+00,3.381388e+00
4.210526e-04,7.894737e-02,1.541668e+00,3.381388e+00
4.210526e-04,1.052632e-01,1.598627e+00,3.381388e+00
4.210526e-04,1.315789e-01,1.655586e+00,3.381388e+00
4.210526e-04,1.578947e-01,1.712545e+00,3.381388e+00
4.210526e-04,1.842105e-01,1.769505e+00,3.381388e+00
4.210526e-04,2.105263e-01,1.826464e+00,3.381388e+00
4.210526e-04,2.368421e-01,1.883423e+00,3.381388e+00
4.210526e-04,2.631579e-01,1.940382e+00,3.381388e+00
4.210526e-04,2.894737e-01,1.997341e+00,3.381388e+00
4.210526e-04,3.157895e-01,2.054300e+00,3.381388e+00
4.210526e-04,3.421053e-01,2.111260e+00,3.381388e+00
4.210526e-04,3.684211e-01,2.168219e+00,3.381388e+00
