# steam_cost,electricity_cost,LCOW,SEC
0.000000e+00,0.000000e+00,1.070153e+00,5.859627e+00
0.000000e+00,1.250000e-01,1.340709e+00,5.859627e+00
0.000000e+00,2.500000e-01,1.611265e+00,5.859627e+00
0.000000e+00,3.750000e-01,1.881821e+00,5.859627e+00
0.000000e+00,5.000000e-01,2.152378e+00,5.859627e+00
2.000000e-03,0.000000e+00,1.845898e+00,5.859627e+00
2.000000e-03,1.250000e-01,2.116454e+00,5.859627e+00
2.000000e-03,2.500000e-01,2.387010e+00,5.859627e+00
2.000000e-03,3.750000e-01,2.657566e+00,5.859627e+00
2.000000e-03,5.000000e-01,2.928122e+00,5.859627e+00
4.000000e-03,0.000000e+00,2.600663e+00,5.859627e+00
4.000000e-03,1.250000e-01,2.871219e+00,5.859627e+00
4.000000e-03,2.500000e-01,3.141775e+00,5.859626e+00
4.000000e-03,3.750000e-01,3.412331e+00,5.859627e+00
4.000000e-03,5.000000e-01,3.682887e+00,5.859627e+00
6.000000e-03,0.000000e+00,3.352585e+00,5.859627e+00
6.000000e-03,1.250000e-01,3.623141e+00,5.859627e+00
6.000000e-03,2.500000e-01,3.893697e+00,5.859627e+00
6.000000e-03,3.750000e-01,4.164253e+00,5.859627e+00
6.000000e-03,5.000000e-01,4.434809e+00,5.859627e+00
8.000000e-03,0.000000e+00,4.103208e+00,5.859627e+00
8.000000e-03,1.250000e-01,4.373764e+00,5.859627e+00
8.000000e-03,2.500000e-01,4.644320e+00,5.859627e+00
8.000000e-03,3.750000e-01,4.914876e+00,5.859627e+00
8.000000e-03,5.000000e-01,5.185432e+00,5.859627e+00
