# steam_cost,LCOW
0.000000e+00,1.221665e+00
8.080808e-05,1.255983e+00
1.616162e-04,1.289921e+00
2.424242e-04,1.322739e+00
3.232323e-04,1.354951e+00
4.040404e-04,1.386800e+00
4.848485e-04,1.418407e+00
5.656566e-04,1.449838e+00
6.464646e-04,1.481135e+00
7.272727e-04,1.512326e+00
8.080808e-04,1.543432e+00
8.888889e-04,1.574467e+00
9.696970e-04,1.605443e+00
1.050505e-03,1.636367e+00
1.131313e-03,1.667246e+00
1.212121e-03,1.698087e+00
1.292929e-03,1.728893e+00
1.373737e-03,1.759668e+00
1.454545e-03,1.790416e+00
1.535354e-03,1.821139e+00
1.616162e-03,1.851839e+00
1.696970e-03,1.882518e+00
1.777778e-03,1.913179e+00
1.858586e-03,1.943822e+00
1.939394e-03,1.974449e+00
2.020202e-03,2.005061e+00
2.101010e-03,2.035659e+00
2.181818e-03,2.066244e+00
2.262626e-03,2.096817e+00
2.343434e-03,2.127379e+00
2.424242e-03,2.157930e+00
2.505051e-03,2.188471e+00
2.585859e-03,2.219003e+00
2.666667e-03,2.249525e+00
2.747475e-03,2.280039e+00
2.828283e-03,2.310545e+00
2.909091e-03,2.341043e+00
2.989899e-03,2.371534e+00
3.070707e-03,2.402018e+00
3.151515e-03,2.432496e+00
3.232323e-03,2.462967e+00
3.313131e-03,2.493432e+00
3.393939e-03,2.523892e+00
3.474747e-03,2.554345e+00
3.555556e-03,2.584794e+00
3.636364e-03,2.615237e+00
3.717172e-03,2.645676e+00
3.797980e-03,2.676109e+00
3.878788e-03,2.706539e+00
3.959596e-03,2.736964e+00
4.040404e-03,2.767384e+00
4.121212e-03,2.797801e+00
4.202020e-03,2.828213e+00
4.282828e-03,2.858622e+00
4.363636e-03,2.889027e+00
4.444444e-03,2.919429e+00
4.525253e-03,2.949827e+00
4.606061e-03,2.980222e+00
4.686869e-03,3.010614e+00
4.767677e-03,3.041002e+00
4.848485e-03,3.071388e+00
4.929293e-03,3.101770e+00
5.010101e-03,3.132150e+00
5.090909e-03,3.162527e+00
5.171717e-03,3.192901e+00
5.252525e-03,3.223273e+00
5.333333e-03,3.253642e+00
5.414141e-03,3.284008e+00
5.494949e-03,3.314372e+00
5.575758e-03,3.344734e+00
5.656566e-03,3.375093e+00
5.737374e-03,3.405450e+00
5.818182e-03,3.435805e+00
5.898990e-03,3.466158e+00
5.979798e-03,3.496509e+00
6.060606e-03,3.526858e+00
6.141414e-03,3.557204e+00
6.222222e-03,3.587549e+00
6.303030e-03,3.617892e+00
6.383838e-03,3.648233e+00
6.464646e-03,3.678572e+00
6.545455e-03,3.708910e+00
6.626263e-03,3.739246e+00
6.707071e-03,3.769580e+00
6.787879e-03,3.799912e+00
6.868687e-03,3.830243e+00
6.949495e-03,3.860572e+00
7.030303e-03,3.890899e+00
7.111111e-03,3.921225e+00
7.191919e-03,3.951550e+00
7.272727e-03,3.981873e+00
7.353535e-03,4.012195e+00
7.434343e-03,4.042515e+00
7.515152e-03,4.072834e+00
7.595960e-03,4.103151e+00
7.676768e-03,4.133468e+00
7.757576e-03,4.163782e+00
7.838384e-03,4.194096e+00
7.919192e-03,4.224408e+00
8.000000e-03,4.254719e+00
