DateTime,electric_customer_fixed_charge,electric_energy_on_peak,electric_energy_mid_peak,electric_energy_off_peak,electric_energy_super_off_peak,electric_demand_fixed,electric_demand_peak,electric_demand_response_price,solar_output_kW
8/19/2021 0:00,0,0,0,0.1016,0,19.94,0,0,28.32875538
8/19/2021 1:00,0,0,0,0.1016,0,19.94,0,0,27.43582358
8/19/2021 2:00,0,0,0,0.1016,0,19.94,0,0,26.58626813
8/19/2021 3:00,0,0,0,0.1016,0,19.94,0,0,24.52831113
8/19/2021 4:00,0,0,0,0.1016,0,19.94,0,0,31.33105114
8/19/2021 5:00,0,0,0,0.1016,0,19.94,0,0,49.98530045
8/19/2021 6:00,0,0,0,0.1016,0,19.94,0,0,45.88553093
8/19/2021 7:00,0,0,0,0.1016,0,19.94,0,0,50.96954639
8/19/2021 8:00,0,0,0,0.1016,0,19.94,0,0,62.01136622
8/19/2021 9:00,0,0,0,0.1016,0,19.94,0,0,53.22428329
8/19/2021 10:00,0,0,0,0.1016,0,19.94,0,0,55.32098996
8/19/2021 11:00,0,0,0,0.1016,0,19.94,0,0,58.93904979
8/19/2021 12:00,0,0,0,0.1016,0,19.94,0,0,61.77697024
8/19/2021 13:00,0,0,0,0.1016,0,19.94,0,0,59.46969147
8/19/2021 14:00,0,0,0,0.1016,0,19.94,0,0,49.78932774
8/19/2021 15:00,0,0,0,0.1016,0,19.94,0,0,50.67537416
8/19/2021 16:00,0,0,0,0.1016,0,19.94,0,0,51.12072853
8/19/2021 17:00,0,0.15246,0,0,0,19.94,36.78,0,42.82056475
8/19/2021 18:00,0,0.15246,0,0,0,19.94,36.78,0,22.07158771
8/19/2021 19:00,0,0.15246,0,0,0,19.94,36.78,0,21.85379948
8/19/2021 20:00,0,0.15246,0,0,0,19.94,36.78,0,27.76116423
8/19/2021 21:00,0,0.15246,0,0,0,19.94,36.78,0,34.50798233
8/19/2021 22:00,0,0,0,0.1016,0,19.94,0,0,29.0353904
8/19/2021 23:00,0,0,0,0.1016,0,19.94,0,0,28.97924544
8/20/2021 0:00,0,0,0,0.1016,0,19.94,0,0,29.50517127
8/20/2021 1:00,0,0,0,0.1016,0,19.94,0,0,31.16438788
8/20/2021 2:00,0,0,0,0.1016,0,19.94,0,0,30.10793941
8/20/2021 3:00,0,0,0,0.1016,0,19.94,0,0,30.1450256
8/20/2021 4:00,0,0,0,0.1016,0,19.94,0,0,34.83865466
8/20/2021 5:00,0,0,0,0.1016,0,19.94,0,0,52.57080333
8/20/2021 6:00,0,0,0,0.1016,0,19.94,0,0,49.0357929
8/20/2021 7:00,0,0,0,0.1016,0,19.94,0,0,46.95388261
8/20/2021 8:00,0,0,0,0.1016,0,19.94,0,0,43.00406302
8/20/2021 9:00,0,0,0,0.1016,0,19.94,0,0,46.05215031
8/20/2021 10:00,0,0,0,0.1016,0,19.94,0,0,48.75058822
8/20/2021 11:00,0,0,0,0.1016,0,19.94,0,0,49.37285887
8/20/2021 12:00,0,0,0,0.1016,0,19.94,0,0,50.24526231
8/20/2021 13:00,0,0,0,0.1016,0,19.94,0,0,45.60029908
8/20/2021 14:00,0,0,0,0.1016,0,19.94,0,0,49.20625274
8/20/2021 15:00,0,0,0,0.1016,0,19.94,0,0,53.10002717
8/20/2021 16:00,0,0,0,0.1016,0,19.94,0,0,54.61269035
8/20/2021 17:00,0,0.15246,0,0,0,19.94,36.78,2,47.32428183
8/20/2021 18:00,0,0.15246,0,0,0,19.94,36.78,2,31.53080252
8/20/2021 19:00,0,0.15246,0,0,0,19.94,36.78,2,26.38881691
8/20/2021 20:00,0,0.15246,0,0,0,19.94,36.78,2,31.13346643
8/20/2021 21:00,0,0.15246,0,0,0,19.94,36.78,2,31.25217612
8/20/2021 22:00,0,0,0,0.1016,0,19.94,0,0,30.69104088
8/20/2021 23:00,0,0,0,0.1016,0,19.94,0,0,25.03291403
8/21/2021 0:00,0,0,0,0.1016,0,19.94,0,0,29.12829766
8/21/2021 1:00,0,0,0,0.1016,0,19.94,0,0,26.80868456
8/21/2021 2:00,0,0,0,0.1016,0,19.94,0,0,26.2459797
8/21/2021 3:00,0,0,0,0.1016,0,19.94,0,0,27.02555958
